total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,l2_reg,learning_rate,min_delta,positional_encoding,tft_dropout,tft_hidden_units,tft_lstm_layers,tft_num_heads,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
344,17,19,architecture,1,11,0,32,1e-06,0.001,1e-08,False,0.26966746914853634,16,3,8,['typical_price'],48,-0.53352906,0.033763,0.334430,0.084322,0.369594,-0.027121,0.329412,-0.53839104
345,18,1,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.03695457267820374,29,3,5,['typical_price'],48,-0.29340721,0.117588,0.254575,-0.014573,0.138067,-0.018119,0.242568,-0.53839104
346,18,2,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.12789331219641478,16,2,7,['typical_price'],48,-0.51476652,0.070042,0.294134,0.028432,0.295154,-0.008110,0.279734,-0.53839104
347,18,3,architecture,,11,1,32,1e-06,0.001,1e-08,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.54022392,0.089839,0.331320,0.092173,0.334842,-0.117739,0.246795,-0.54022392
348,18,4,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.10006759349405499,16,3,8,['typical_price'],48,-0.50267545,0.042161,0.269439,0.038375,0.227348,0.063809,0.321224,-0.54022392
349,18,5,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.09212013174024043,22,3,7,['typical_price'],48,-0.35579333,0.027886,0.237288,-0.044231,0.179878,0.017911,0.271889,-0.54022392
350,18,6,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.2506056470968779,22,2,3,['typical_price'],48,-0.39570028,0.046890,0.323302,-0.035668,0.297521,0.080482,0.346912,-0.54022392
351,18,7,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.149143048960665,20,1,2,['typical_price'],48,-0.33471377,0.171296,0.377601,-0.017823,0.263274,0.013198,0.306678,-0.54022392
352,18,8,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.24133605927819266,55,1,2,['typical_price'],48,-0.42151370,0.093042,0.308736,0.006853,0.239221,-0.021790,0.286198,-0.54022392
353,18,9,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.09727048230350561,43,2,7,['typical_price'],48,-0.31795022,0.083655,0.260623,-0.032705,0.215633,-0.023988,0.247191,-0.54022392
354,18,10,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.09647696577704044,59,3,3,['typical_price'],48,-0.49731758,0.009369,0.290663,-0.012399,0.251511,0.017228,0.319595,-0.54022392
355,18,11,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.10065111830060605,29,1,3,['typical_price'],48,-0.48343712,0.028524,0.237852,0.006944,0.213501,-0.015199,0.258134,-0.54022392
356,18,12,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.22726502585818092,23,2,3,['typical_price'],48,-0.34472444,0.118132,0.345081,-0.019907,0.278884,0.047192,0.324059,-0.54022392
357,18,13,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.1660223189704257,26,3,6,['typical_price'],48,-0.31859139,0.026051,0.284689,-0.043991,0.258727,-0.065359,0.257092,-0.54022392
358,18,14,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.04001126311712228,44,1,1,['typical_price'],48,-0.37986171,0.110434,0.325926,-0.001532,0.220913,0.021135,0.302867,-0.54022392
359,18,15,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.2332984912941314,56,3,7,['typical_price'],48,-0.47537428,0.000313,0.254658,-0.007349,0.233379,0.084001,0.337778,-0.54022392
360,18,16,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.0019048735660850856,17,2,2,['typical_price'],48,-0.35189521,0.062043,0.330591,-0.039107,0.282883,0.016956,0.288577,-0.54022392
361,18,17,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.12486667266526114,27,1,5,['typical_price'],48,-0.38908374,0.123050,0.330395,-0.000407,0.227011,-0.046662,0.256459,-0.54022392
362,18,18,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.06184806557689871,46,3,3,['typical_price'],48,-0.23273078,0.027103,0.255072,-0.063699,0.176556,-0.009348,0.275660,-0.54022392
363,18,19,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.12360939735007377,56,2,8,['typical_price'],48,-0.07356393,0.264448,0.442876,-0.077345,0.191214,-0.020459,0.266667,-0.54022392
364,18,20,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.17888159121573072,27,3,1,['typical_price'],48,-0.48338967,0.051062,0.208991,0.011893,0.170455,0.034145,0.271357,-0.54022392
365,19,1,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.10065111830060605,32,1,3,['typical_price'],48,-0.50035912,0.047861,0.270081,0.011590,0.235971,0.024385,0.289555,-0.54022392
366,19,2,architecture,1,11,0,32,1e-06,0.001,1e-08,False,0.13113231369390543,24,3,7,['typical_price'],48,-0.37126458,0.140828,0.360559,-0.006569,0.285714,-0.024527,0.297030,-0.54022392
367,19,3,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.54022392,0.089839,0.331320,0.092173,0.334842,-0.117739,0.246795,-0.54022392
368,19,4,architecture,1,11,0,32,1e-06,0.001,1e-08,False,0.09647696577704044,58,3,3,['typical_price'],48,-0.27378968,0.267356,0.450644,0.014029,0.298387,0.045319,0.323887,-0.54022392
369,19,5,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.10006759349405499,16,3,4,['typical_price'],48,-0.50254225,0.034787,0.233244,0.045103,0.281654,0.044199,0.272608,-0.54022392
370,19,6,architecture,1,11,0,32,1e-06,0.001,1e-08,False,0.17888159121573072,27,3,3,['typical_price'],48,-0.36684825,0.059514,0.243697,-0.013030,0.181513,-0.015886,0.271120,-0.54022392
371,19,7,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.2506056470968779,22,1,5,['typical_price'],48,-0.46259708,0.120456,0.336107,0.052646,0.299401,-0.004962,0.285976,-0.54022392
372,19,8,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.2332984912941314,21,3,7,['typical_price'],48,-0.27970816,0.027924,0.312101,-0.074819,0.253788,-0.069442,0.262626,-0.54022392
373,19,9,architecture,1,11,0,32,1e-06,0.001,1e-08,False,0.12789331219641478,16,2,6,['typical_price'],48,-0.50370905,0.047914,0.290108,-0.006275,0.277837,0.033626,0.313625,-0.54022392
374,19,10,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.10006759349405499,56,3,8,['typical_price'],48,-0.45258525,0.177183,0.396730,0.076056,0.342308,-0.045191,0.287890,-0.54022392
375,19,11,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.17888159121573072,21,3,1,['typical_price'],48,-0.45913685,0.008732,0.201200,-0.000768,0.234807,0.044973,0.281481,-0.54022392
376,19,12,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.12486667266526114,27,1,5,['typical_price'],48,-0.38908374,0.123050,0.330395,-0.000407,0.227011,-0.046662,0.256459,-0.54022392
377,19,13,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.12789331219641478,16,2,3,['typical_price'],48,-0.24896288,0.311571,0.479157,0.009004,0.290188,0.018483,0.304348,-0.54022392
378,19,14,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.10006759349405499,22,2,3,['typical_price'],48,-0.51312642,0.047961,0.321689,-0.001056,0.304505,-0.004998,0.317204,-0.54022392
379,19,15,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.24133605927819266,16,1,3,['typical_price'],48,-0.50575651,0.030824,0.284453,0.020219,0.262338,0.007184,0.305958,-0.54022392
380,19,16,architecture,1,11,0,32,1e-06,0.001,1e-08,False,0.2506056470968779,22,2,3,['typical_price'],48,-0.39570028,0.046890,0.323302,-0.035668,0.297521,0.080482,0.346912,-0.54022392
381,19,17,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.16635063291639696,40,2,4,['typical_price'],48,-0.50362752,-0.004466,0.296071,-0.015035,0.304422,0.017576,0.334467,-0.54022392
382,19,18,architecture,,11,0,32,1e-06,0.001,1e-08,False,0.0988236639368198,16,1,8,['typical_price'],48,-0.37989473,0.263887,0.442649,0.082781,0.322275,0.015204,0.308571,-0.54022392
383,19,19,architecture,1,11,0,32,1e-06,0.001,1e-08,False,0.09647696577704044,59,3,3,['typical_price'],48,-0.49731758,0.009369,0.290663,-0.012399,0.251511,0.017228,0.319595,-0.54022392
384,20,1,training,,11,0,33,1e-07,0.0028446395762734243,8.52078887227875e-08,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.23327273,0.137486,0.345530,-0.048191,0.178517,-0.058701,0.237603,-0.54022392
385,20,2,training,,11,0,36,4.585540588591548e-05,0.002530749393849998,1.3325269592194186e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.40815281,0.074292,0.281604,-0.020064,0.213675,-0.113870,0.249201,-0.54022392
386,20,3,training,,11,0,21,0.0001201163331031038,1e-05,1e-10,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.44451287,0.090280,0.349357,0.001787,0.319613,0.028534,0.325811,-0.54022392
387,20,4,training,,11,0,43,1e-07,0.0027578002822524674,1.1584293032392185e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.21937177,0.033151,0.184943,-0.043767,0.108871,-0.050820,0.128060,-0.54022392
388,20,5,training,,11,0,39,0.00030341855624271564,0.0006988369285933099,1e-10,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.31853411,0.263668,0.447652,0.044424,0.306681,0.010559,0.310452,-0.54022392
389,20,6,training,,11,0,62,0.0008878160961097174,0.0008851103227197713,7.415535237595283e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.36960876,0.191723,0.394296,0.043278,0.292566,-0.040274,0.282238,-0.54022392
390,20,7,training,,11,0,44,0.00028870515492837096,0.004161941657355563,8.056922178248156e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42536358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
391,20,8,training,,11,0,43,0.0007286326549316881,0.00970390312528803,4.1425236834178654e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42514203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
392,20,9,training,,11,0,54,8.616936651933877e-05,0.00835676020798034,2.0786301232278952e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.39327366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
393,20,10,training,,11,0,49,0.0009866396834886312,0.00475138516876057,6.620916958868259e-08,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.49972908,0.000000,0.347083,0.000000,0.357872,0.000000,0.334605,-0.54022392
394,20,11,training,,11,0,64,0.00037583483255907465,0.009601352029225841,6.718205998239576e-09,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42548158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
395,20,12,training,,11,0,33,0.00041457256253641484,0.006391671937145,5.558582635803054e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42510843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
396,20,13,training,,11,0,64,0.000914880623699079,0.007105367597665519,1.9933763570403913e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42547075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
397,20,14,training,,11,0,34,0.0005539115398178737,0.008324514394952935,4.232869114739392e-08,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42511456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
398,20,15,training,,11,0,53,0.000303983987846606,0.008264220570004798,5.593251285655948e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42527359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
399,20,16,training,,11,0,17,0.0007912404254544259,0.00463988382371483,1.541085672434475e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42507450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
400,20,17,training,,11,0,56,0.0008342596470445183,0.003008692385857594,4.725939151403643e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.36250459,0.056289,0.334829,-0.055081,0.265403,-0.006469,0.248492,-0.54022392
401,20,18,training,,11,0,34,0.0004172150564845976,0.0065415915923005,4.9193731464969e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42509485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
402,20,19,training,,11,0,31,2.8539740608950814e-05,0.0068815534281090685,7.64741883978168e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42946979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
403,20,20,training,,11,0,20,0.0005989314342669472,0.004935571748117999,3.6182333454420905e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42506922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
404,21,1,training,,11,0,43,0.0002834714531114285,0.008333509849094246,4.1425236834178654e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42512220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
405,21,2,training,,11,0,31,0.00037583483255907465,0.009090838363839834,1e-06,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42517987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
406,21,3,training,1,11,0,42,0.0005539115398178737,0.008324514394952935,4.232869114739392e-08,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42512476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
407,21,4,training,,11,0,53,0.000303983987846606,0.008264220570004798,1e-10,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42527359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
409,21,6,training,,11,0,49,0.000914880623699079,0.005201578597982215,6.620916958868259e-08,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.51335930,0.000000,0.347083,0.000000,0.357872,0.000000,0.334605,-0.54022392
410,21,7,training,,11,0,64,0.00037583483255907465,0.009601352029225841,6.718205998239576e-09,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42548158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
411,21,8,training,1,11,0,44,0.00028870515492837096,0.004161941657355563,8.056922178248156e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42536358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
412,21,9,training,,11,0,43,0.0001201163331031038,0.00970390312528803,4.1425236834178654e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42514205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
413,21,10,training,1,11,0,53,0.0005645664783328792,0.008264220570004798,5.593251285655948e-07,False,0.13113231369390543,21,3,7,['typical_price'],48,-0.42558488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.54022392
