total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,dropout_rate,hidden_units,l2_reg,learning_rate,min_delta,num_hidden_layers,positional_encoding,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
1,0,1,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,1.23966491,0.450269,0.166115,0.504012,0.180223,0.567707,0.146212,1.23966491
2,0,2,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,True,,69,1.14710133,0.403910,0.166225,0.493333,0.180125,0.450682,0.146141,1.14710133
3,0,3,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,1.23966491,0.450269,0.166115,0.504012,0.180223,0.567707,0.146212,1.14710133
4,0,4,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,84,1.30660934,0.460952,0.165760,0.521873,0.178281,0.586268,0.147212,1.14710133
5,0,5,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,1.23966491,0.450269,0.166115,0.504012,0.180223,0.567707,0.146212,1.14710133
6,0,6,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],117,1.12479090,0.391243,0.165021,0.486719,0.175919,0.705469,0.149129,1.12479090
7,0,7,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,False,,52,0.92637078,0.368020,0.165861,0.425913,0.178472,0.610896,0.147387,0.92637078
8,0,8,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,75,1.00302263,0.380017,0.165698,0.449987,0.179612,0.593352,0.146568,0.92637078
9,0,9,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],119,0.88900967,0.317816,0.164800,0.435649,0.176116,0.570920,0.149279,0.88900967
10,0,10,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,['typical_price'],76,1.08054238,0.384857,0.165588,0.476683,0.179158,0.555224,0.146639,0.88900967
11,0,11,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,False,,151,0.87289566,0.272515,0.165225,0.457283,0.179326,0.583685,0.145544,0.87289566
12,0,12,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,True,['typical_price'],137,0.51507381,0.191308,0.165055,0.361875,0.177906,0.354540,0.147066,0.51507381
13,0,13,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,83,1.20076772,0.406019,0.165738,0.510635,0.178183,0.687355,0.147140,0.51507381
14,0,14,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,145,1.34103320,0.489379,0.165095,0.519883,0.178715,0.554294,0.146126,0.51507381
15,0,15,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,59,1.13363239,0.433694,0.166010,0.471024,0.179149,0.419574,0.145437,0.51507381
16,0,16,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,['typical_price'],93,1.18380924,0.421474,0.165954,0.496889,0.179165,0.583619,0.147863,0.51507381
17,0,17,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],151,0.87289566,0.272515,0.165225,0.457283,0.179326,0.583685,0.145544,0.51507381
18,0,18,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],116,1.10881064,0.389074,0.165131,0.481702,0.175821,0.687815,0.149055,0.51507381
19,0,19,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,['typical_price'],58,1.22245600,0.466726,0.165989,0.487292,0.179052,0.569948,0.145367,0.51507381
20,0,20,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,121,1.15805245,0.394823,0.164711,0.497811,0.176313,0.695514,0.149428,0.51507381
21,1,1,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],151,0.87289566,0.272515,0.165225,0.457283,0.179326,0.583685,0.145544,0.51507381
