ts,stage,generation,candidate,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,extra
1765759611.018,candidate_start,0,1,977816,977816,1032,1032,
1765759611.154,before_preprocess,0,1,977820,977820,1032,1032,
1765759611.360,after_preprocess,0,1,990116,995652,1032,1032,
1765759611.360,before_build_model,0,1,990116,995652,1032,1032,
1765759611.930,after_build_model,0,1,1072132,1072132,26352,27300,
1765759611.930,before_fit,0,1,1072132,1072132,26352,27300,{"params":{"use_log1p_features":["typical_price"],"window_size":96,"positional_encoding":true,"intermediate_layers":4,"initial_layer_size":39,"encoder_lstm_units":23,"layer_size_divisor":20}}
1765760995.663,after_fit,0,1,3442308,3442308,1261764,205898608,
1765760995.937,candidate_end,0,1,3442284,3442284,1252340,205898608,
1765760995.940,candidate_start,0,2,3439592,3439592,1252340,205898608,
1765760996.249,before_preprocess,0,2,3439592,3439592,1252148,205898608,
1765760996.423,after_preprocess,0,2,3439596,3439596,1252148,205898608,
1765760996.424,before_build_model,0,2,3439596,3439596,1252148,205898608,
1765760996.591,after_build_model,0,2,3439612,3439612,1282752,205898608,
1765760996.591,before_fit,0,2,3439612,3439612,1282752,205898608,{"params":{"use_log1p_features":null,"window_size":85,"positional_encoding":true,"intermediate_layers":4,"initial_layer_size":87,"encoder_lstm_units":20,"layer_size_divisor":11}}
1765762389.436,after_fit,0,2,5056496,5056496,2543080,206743164,
1765762389.833,candidate_end,0,2,5056472,5056472,2528472,206743164,
1765762389.835,candidate_start,0,3,5056472,5056472,2528472,206743164,
1765762390.227,before_preprocess,0,3,5056472,5056472,2528280,206743164,
1765762390.410,after_preprocess,0,3,5056488,5056488,2528280,206743164,
1765762390.410,before_build_model,0,3,5056488,5056488,2528280,206743164,
1765762390.578,after_build_model,0,3,5056492,5056492,2563832,206743164,
1765762390.579,before_fit,0,3,5056492,5056492,2563832,206743164,{"params":{"use_log1p_features":["typical_price"],"window_size":30,"positional_encoding":true,"intermediate_layers":3,"initial_layer_size":114,"encoder_lstm_units":27,"layer_size_divisor":11}}
1765763624.375,after_fit,0,3,6453828,6453828,3702016,206743164,
1765763624.870,candidate_end,0,3,6453804,6453804,3680796,206743164,
1765763624.873,candidate_start,0,4,6453804,6453804,3680796,206743164,
