Metric,Average,Std Dev,Max,Min
Training MAE,0.006732633572194747,0.0,0.006732633572194747,0.006732633572194747
Training R²,0.9985993600378537,0.0,0.9985993600378537,0.9985993600378537
Validation MAE,0.06653304922016236,0.0,0.06653304922016236,0.06653304922016236
Validation R²,0.329686559845397,0.0,0.329686559845397,0.329686559845397
