Metric,Average,Std Dev,Min,Max
Train MAE H24,0.002165,0.000155,0.002021,0.002379
Train MAE H48,0.002334,0.000193,0.002177,0.002607
Train MAE H72,0.002382,0.000261,0.002173,0.002750
Train MAE H96,0.002313,0.000341,0.001942,0.002765
Train MAE H120,0.002180,0.000128,0.002062,0.002357
Train MAE H144,0.004586,0.000528,0.003986,0.005272
Train R2 H24,0.999262,0.000086,0.999142,0.999338
Train R2 H48,0.999131,0.000142,0.998930,0.999234
Train R2 H72,0.999140,0.000194,0.998866,0.999281
Train R2 H96,0.999173,0.000243,0.998841,0.999415
Train R2 H120,0.999287,0.000072,0.999191,0.999361
Train R2 H144,0.997303,0.000670,0.996409,0.998021
Train Uncertainty H24,0.001521,0.000423,0.001136,0.002109
Train Uncertainty H48,0.001759,0.000480,0.001232,0.002393
Train Uncertainty H72,0.001969,0.000397,0.001589,0.002517
Train Uncertainty H96,0.002075,0.000416,0.001680,0.002650
Train Uncertainty H120,0.002224,0.000274,0.001999,0.002609
Train Uncertainty H144,0.002565,0.000410,0.002148,0.003123
Train SNR H24,941.442383,227.737885,633.457092,1177.016968
Train SNR H48,817.658203,214.940186,558.552612,1084.859619
Train SNR H72,704.978760,129.088104,531.321167,840.571167
Train SNR H96,668.548889,121.772171,504.383087,795.686035
Train SNR H120,609.786621,69.233192,512.640564,668.934753
Train SNR H144,534.074219,80.543800,427.872131,622.837463
Validation MAE H24,0.001720,0.000129,0.001617,0.001902
Validation MAE H48,0.001925,0.000142,0.001784,0.002119
Validation MAE H72,0.002163,0.000170,0.002008,0.002400
Validation MAE H96,0.002151,0.000323,0.001695,0.002401
Validation MAE H120,0.002280,0.000107,0.002141,0.002400
Validation MAE H144,0.006235,0.000343,0.005804,0.006643
Validation R2 H24,0.999333,0.000081,0.999219,0.999403
Validation R2 H48,0.999143,0.000118,0.998985,0.999267
Validation R2 H72,0.998888,0.000163,0.998662,0.999043
Validation R2 H96,0.998861,0.000290,0.998628,0.999270
Validation R2 H120,0.998611,0.000215,0.998444,0.998915
Validation R2 H144,0.991603,0.000651,0.991122,0.992522
Validation Uncertainty H24,0.001276,0.000428,0.000864,0.001866
Validation Uncertainty H48,0.001399,0.000473,0.000894,0.002031
Validation Uncertainty H72,0.001640,0.000350,0.001304,0.002123
Validation Uncertainty H96,0.001704,0.000379,0.001291,0.002206
Validation Uncertainty H120,0.001773,0.000264,0.001513,0.002135
Validation Uncertainty H144,0.002136,0.000377,0.001831,0.002667
Validation SNR H24,1085.461914,319.722595,669.603638,1447.112305
Validation SNR H48,997.658447,319.344269,614.846191,1396.578979
Validation SNR H72,793.193298,153.342941,587.567810,955.669373
Validation SNR H96,767.267273,163.622101,564.945923,965.679382
Validation SNR H120,717.071228,100.047600,583.194031,823.657776
Validation SNR H144,599.603943,94.844551,466.449432,680.168274
Test MAE H24,0.001459,0.000109,0.001346,0.001607
Test MAE H48,0.001586,0.000138,0.001442,0.001772
Test MAE H72,0.001667,0.000181,0.001493,0.001917
Test MAE H96,0.001598,0.000225,0.001326,0.001876
Test MAE H120,0.001584,0.000181,0.001449,0.001840
Test MAE H144,0.004983,0.000160,0.004759,0.005123
Test R2 H24,0.997458,0.000312,0.997030,0.997763
Test R2 H48,0.996995,0.000459,0.996366,0.997449
Test R2 H72,0.996661,0.000737,0.995634,0.997331
Test R2 H96,0.996888,0.000842,0.995789,0.997833
Test R2 H120,0.997037,0.000598,0.996193,0.997507
Test R2 H144,0.970627,0.002243,0.968497,0.973728
Test Uncertainty H24,0.001176,0.000383,0.000802,0.001702
Test Uncertainty H48,0.001318,0.000419,0.000827,0.001852
Test Uncertainty H72,0.001438,0.000346,0.001114,0.001917
Test Uncertainty H96,0.001468,0.000332,0.001109,0.001910
Test Uncertainty H120,0.001439,0.000168,0.001295,0.001675
Test Uncertainty H144,0.001738,0.000276,0.001460,0.002113
Test SNR H24,1111.735718,321.153259,696.418152,1478.588135
Test SNR H48,1001.777771,327.839661,640.371338,1433.991089
Test SNR H72,869.898132,186.080078,619.115356,1064.352539
Test SNR H96,850.213440,183.441788,621.630188,1070.752930
Test SNR H120,836.425781,90.709831,709.830688,917.686462
Test SNR H144,699.761292,104.537453,561.205322,813.691284
