Metric,Average,Std Dev,Min,Max
Train MAE H24,0.003621,0.001016,0.002187,0.004417
Train MAE H48,0.002905,0.000559,0.002196,0.003564
Train MAE H72,0.002869,0.000579,0.002090,0.003478
Train MAE H96,0.002846,0.000574,0.002090,0.003481
Train MAE H120,0.002913,0.000776,0.001994,0.003893
Train MAE H144,0.003959,0.000992,0.002687,0.005107
Train R2 H24,0.925163,0.034385,0.896209,0.973473
Train R2 H48,0.951568,0.017371,0.929862,0.972385
Train R2 H72,0.951256,0.017624,0.931832,0.974494
Train R2 H96,0.949850,0.018477,0.928420,0.973513
Train R2 H120,0.944261,0.027572,0.907854,0.974557
Train R2 H144,0.897034,0.045669,0.842620,0.954372
Train Uncertainty H24,0.002653,0.000579,0.001845,0.003166
Train Uncertainty H48,0.003666,0.000728,0.002642,0.004276
Train Uncertainty H72,0.003796,0.001147,0.002335,0.005136
Train Uncertainty H96,0.003640,0.000744,0.002667,0.004474
Train Uncertainty H120,0.003873,0.001210,0.002244,0.005142
Train Uncertainty H144,0.003939,0.000920,0.002670,0.004820
Train SNR H24,486.639923,124.055962,385.295441,661.335510
Train SNR H48,348.418060,80.082603,285.179260,461.403748
Train SNR H72,356.745880,120.582649,237.380600,521.899902
Train SNR H96,350.364655,77.616173,272.364807,456.248260
Train SNR H120,355.815277,133.765945,237.051544,542.717224
Train SNR H144,329.863708,89.966774,252.567383,456.033234
Validation MAE H24,0.008819,0.002533,0.005806,0.012004
Validation MAE H48,0.009942,0.002048,0.007052,0.011551
Validation MAE H72,0.011008,0.001931,0.008415,0.013046
Validation MAE H96,0.012901,0.002328,0.009644,0.014943
Validation MAE H120,0.012752,0.003238,0.008628,0.016538
Validation MAE H144,0.028815,0.010978,0.015774,0.042631
Validation R2 H24,0.983635,0.008997,0.972237,0.994229
Validation R2 H48,0.975237,0.012420,0.960946,0.991226
Validation R2 H72,0.973896,0.009170,0.961581,0.983572
Validation R2 H96,0.967126,0.007674,0.960320,0.977850
Validation R2 H120,0.964659,0.013252,0.946301,0.977102
Validation R2 H144,0.844915,0.093991,0.721280,0.949007
Validation Uncertainty H24,0.018000,0.008918,0.005479,0.025573
Validation Uncertainty H48,0.018678,0.009263,0.006417,0.028804
Validation Uncertainty H72,0.014150,0.006868,0.004729,0.020909
Validation Uncertainty H96,0.014483,0.006625,0.005199,0.020220
Validation Uncertainty H120,0.017450,0.008681,0.005459,0.025727
Validation Uncertainty H144,0.022989,0.009768,0.009275,0.031290
Validation SNR H24,110.539253,83.538345,48.734776,228.637466
Validation SNR H48,99.296051,67.931938,43.411533,194.912628
Validation SNR H72,132.409607,92.889084,59.304855,263.483643
Validation SNR H96,123.265350,82.107025,61.125851,239.284241
Validation SNR H120,111.497124,81.869568,48.260803,227.108231
Validation SNR H144,72.405136,43.007500,39.807072,133.173172
Test MAE H24,0.004130,0.001089,0.002686,0.005317
Test MAE H48,0.006031,0.001464,0.003972,0.007247
Test MAE H72,0.006234,0.001619,0.004440,0.008363
Test MAE H96,0.008257,0.002583,0.004611,0.010274
Test MAE H120,0.007633,0.000591,0.006799,0.008108
Test MAE H144,0.025109,0.002397,0.021979,0.027803
Test R2 H24,0.975816,0.012622,0.960464,0.991379
Test R2 H48,0.933774,0.033670,0.896330,0.977970
Test R2 H72,0.929269,0.040707,0.872395,0.965429
Test R2 H96,0.879518,0.060765,0.823655,0.964001
Test R2 H120,0.909191,0.013908,0.894346,0.927788
Test R2 H144,0.010068,0.277678,-0.274024,0.386905
Test Uncertainty H24,0.009921,0.004539,0.003546,0.013753
Test Uncertainty H48,0.010220,0.004146,0.004358,0.013219
Test Uncertainty H72,0.008791,0.003895,0.003656,0.013084
Test Uncertainty H96,0.009250,0.004238,0.003624,0.013852
Test Uncertainty H120,0.010464,0.004776,0.004011,0.015420
Test Uncertainty H144,0.017736,0.008586,0.007684,0.028662
Test SNR H24,171.792358,114.907425,86.043022,334.211426
Test SNR H48,150.684738,85.531281,89.291115,271.639618
Test SNR H72,178.950546,103.377388,90.193489,323.937042
Test SNR H96,175.450439,107.521622,85.068321,326.540771
Test SNR H120,156.897766,97.579613,77.496178,294.344208
Test SNR H144,87.358276,47.447998,40.659298,152.437531
