Metric,Average,Std Dev,Max,Min
Training MAE,0.030840937048196793,0.00030975516862297403,0.03119821287691593,0.03044278174638748
Training R²,0.95603393897745,0.0006655192453579619,0.9569415021880037,0.9553642394177325
Validation MAE,0.13166510313749313,0.015502696665002785,0.1516563445329666,0.1138744130730629
Validation R²,-2.6039512552687767,0.8346828942824954,-1.6972349610051476,-3.7118645737187386
