Metric,Average,Std Dev,Max,Min
Training MAE,0.03566809743642807,0.003503989612851501,0.03936193510890007,0.030960481613874435
Training R²,0.945242973666761,0.007642458309655532,0.9560495344447112,0.939683371057401
Validation MAE,0.17898984998464584,0.05169353009766021,0.24513088166713715,0.11894982308149338
Validation R²,-10.221496981845329,6.986063774906936,-3.5719616336172044,-19.87440738033745
