Metric,Average,Std Dev,Max,Min
Training MAE,0.0054704309441149235,0.0014753136303947234,0.007548822555691004,0.004272989463061094
Training R²,0.9991186538454704,0.0003545754327284863,0.9994235038112275,0.9986214311247436
Validation MAE,0.007064337686945994,0.0007334022859178739,0.007592397276312113,0.006027208175510168
Validation R²,0.9903595477779765,0.0019084606592758477,0.9930555890568767,0.9889026501489689
