DATE_TIME,RSI,MACD,MACD_Signal,MACD_Histogram,EMA,Stochastic_%K,Stochastic_%D,ADX,DI+,DI-,ATR,CCI,BB_MID_20_2,BB_UP_20_2,BB_LOW_20_2,BB_WIDTH_20_2,WilliamsR,Momentum,ROC
2011-08-03 08:00:00,0.5910198671491752,-0.4311284373212866,-0.8456154503475833,1.28638445565181,0.6078185269686966,0.923864942799536,0.4351435893099109,-0.46500061609221244,-0.24853776155974272,0.14643343021951474,0.9101553452668253,0.7457583676344895,0.6032841628956551,0.5935017331864704,0.6123980603593892,-0.1902055045708534,1.2200721905879486,1.3502279710097074,0.5602492729352483
2011-08-03 12:00:00,2.000391589663596,0.7060874437462915,-0.1333180509297334,2.90624832439714,0.6348543821642253,1.499839148519131,1.4697611779092705,-0.5755452754691542,1.0184321301460635,-0.2898320665726015,1.289136609771457,2.041323559945293,0.6159134997258621,0.6444839470474957,0.5863163964776514,0.894005844215269,1.5107099535685897,3.0197284597283267,2.2166521906908923
2011-08-03 16:00:00,1.5543957370780284,1.1410282318334108,0.6147997442593114,1.9551045586249358,0.6570269410380487,1.2545096428274556,1.37066629791766,-0.8171283112618236,0.23131610239342112,-0.13371707110595651,1.4810672744995417,0.8010589447918878,0.6362383904872216,0.6876228866202656,0.5835981577136208,1.5407683134530996,1.1303995541433738,-0.6656626440464743,1.75120244610564
2011-08-03 20:00:00,1.2065727985193078,1.2158397346643022,1.0021516315547025,0.9373970615012892,0.6731879370394765,1.3893028940530985,1.355198226952707,-1.0054708923752516,0.03607250155246081,-0.5921332119443775,1.2366594888169615,0.6310604417725333,0.6590622996565172,0.7105859790945671,0.606253045815411,1.5479454517617133,1.4069096191513608,0.5300494266766531,1.3596782460629748
2011-08-04 00:00:00,0.6683243889959869,1.3719982352131088,1.2328764869515496,0.7209623922671857,0.6918196663963697,1.3012921206268382,1.3827330973435006,-0.7930631760021382,0.7348526621244498,-1.011603342188791,0.9572733277449873,0.8789852809908999,0.6875830069871643,0.7203172339032465,0.6536951692108516,1.0217203852852044,1.240772701886074,1.0596266390581868,0.43159685506746237
2011-08-04 04:00:00,-0.2020236821565989,0.9655257400713178,1.2213652601599352,-0.6606555546542341,0.6973758349079846,-0.09751799307547152,0.3971313239845154,-0.8170088219548217,0.08731647322347867,-0.14562713277585088,0.8357736569362517,-0.5291635907895418,0.706780012029971,0.7020402925674134,0.7106765253423925,-0.033154797734572014,-0.7454243350070782,-1.8413906690194206,-0.1196631067111958
2011-08-04 08:00:00,-0.4061806414037116,0.34650873081648775,0.8246716527627568,-1.5127692828751331,0.6909275884651073,-1.197300659202258,-1.1577274231263468,-1.0699550002713556,0.07298513448747748,-0.08426554104808108,0.9590105754220041,-1.190126283022727,0.7049361540953712,0.6987160153234874,0.7103286096345914,-0.07519838853583163,-1.164988808772409,-0.5740691010245386,-0.6371835527802996
2011-08-04 12:00:00,-0.9173511464253146,-0.3481398781096461,0.2547049149400606,-2.05690276061266,0.6752661611372921,-1.2448905618943855,-1.2653230822520252,-1.1469059984133565,-0.609005921731323,0.49186454061781193,1.3481974574477753,-1.5394100747584674,0.6933555329790559,0.7100849613200085,0.6756081048627767,0.5708469161936299,-1.0963357596287124,-1.5432953199115576,-1.8536248798143249
2011-08-04 16:00:00,-1.346207591770023,-1.2868885173614102,-0.5086541148315372,-2.8150097674071217,0.6449715551607027,-1.2101836215123674,-1.1845699423236644,-0.6637465424845399,-1.1702360264904044,1.0365259911131954,1.9882772495699106,-1.517612747932445,0.6693681689586756,0.7273032054659354,0.6100774244926815,1.7303569520984876,-1.2405202120546694,-2.550824293153185,-2.193919648170286
2011-08-04 20:00:00,-1.4268226053287278,-1.9158536164520967,-1.2914446045519274,-2.4270209802118803,0.6118996605051145,-1.4959828680316565,-1.3936124789546878,-0.23245228186666406,-1.2585279263231424,0.8953373924051704,1.6957379779996464,-1.133817331374729,0.6328168694162931,0.7070152612049567,0.5571634129691867,2.1841461002934883,-1.65957164105673,-1.1744231421048668,-2.478491673526136
