DATE_TIME,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
2011-01-10 12:00:00,1.1751356,0.7746821,-0.84837455,0.9953495,-0.5496411,-1.5702373,-1.1789571,0.051514678,0.49912915,-1.2772834,-2.397175,-1.5194104,1.2194787,-1.2242103,0.4265727,2.923649
2011-01-10 13:00:00,1.3426037,0.69745505,-0.8600035,1.0268736,-0.5509867,-1.686987,-1.1685838,0.115047924,0.7702235,-1.281288,-2.5731823,-1.4563779,1.3213552,-1.4420917,0.18994229,3.0597806
2011-01-10 14:00:00,1.2323631,0.7553219,-0.855063,1.0235654,-0.57138115,-1.5798006,-1.1776918,0.0813242,0.5690865,-1.3140918,-2.4746192,-1.5190098,1.2756795,-1.3169044,0.34345755,2.9800906
2011-01-10 15:00:00,1.3181925,0.71825105,-0.8817066,1.042912,-0.5637645,-1.614937,-1.1586598,0.1286166,0.68592745,-1.31669,-2.6221647,-1.4660937,1.3998617,-1.4469789,0.21556164,3.0343006
2011-01-10 16:00:00,1.2710708,0.73201287,-0.84142905,0.9991217,-0.54740477,-1.6534481,-1.1713535,0.06648909,0.66436416,-1.2493185,-2.4376616,-1.4872662,1.2113152,-1.2992634,0.32377967,3.0146344
2011-01-10 17:00:00,1.2968054,0.7232956,-0.82355005,1.0155394,-0.5663264,-1.6653389,-1.1896328,0.07574167,0.7202791,-1.2787069,-2.4369214,-1.5051553,1.1841878,-1.34033,0.27152002,3.0461748
2011-01-10 18:00:00,1.3249409,0.7089458,-0.84634167,1.015217,-0.5544744,-1.6772579,-1.1696695,0.09155511,0.74616,-1.2659128,-2.5059407,-1.4717027,1.2580694,-1.3798848,0.24070545,3.0580792
2011-01-10 19:00:00,1.2601388,0.7383788,-0.8227585,0.98653924,-0.540539,-1.6626229,-1.1803776,0.050595455,0.6701714,-1.2304504,-2.3794386,-1.4926758,1.1455318,-1.2546216,0.344479,3.0065937
2011-01-10 20:00:00,1.2748934,0.7304585,-0.82323617,0.9893768,-0.542061,-1.6750942,-1.1798261,0.0547119,0.6951413,-1.2315475,-2.3919983,-1.4885995,1.1508964,-1.2742407,0.32387942,3.0209336
2011-01-10 21:00:00,1.2599814,0.7361992,-0.82255393,0.98188245,-0.5359355,-1.671376,-1.1787362,0.047325425,0.67455363,-1.2206887,-2.3734164,-1.48759,1.138935,-1.2490608,0.34737343,3.0058746
2011-01-10 22:00:00,1.2759221,0.7290265,-0.8149918,0.9886968,-0.543099,-1.6843427,-1.1861618,0.051674344,0.70850074,-1.2311279,-2.3752308,-1.4930469,1.1263899,-1.2718636,0.3185979,3.024452
2011-01-10 23:00:00,1.3301365,0.7038949,-0.8400907,1.0061054,-0.548318,-1.6974868,-1.1691397,0.08260224,0.7674676,-1.2475184,-2.4835453,-1.4657553,1.2290097,-1.3660764,0.24245305,3.0650346
2011-01-11 00:00:00,1.1541731,0.79853666,-0.82654494,0.999634,-0.5647309,-1.5278662,-1.1978421,0.044977732,0.4711599,-1.3056749,-2.3502848,-1.552507,1.1722556,-1.1872497,0.44550866,2.9078023
2011-01-11 01:00:00,1.3141034,0.73336124,-0.89112693,1.0801907,-0.5851983,-1.5296434,-1.170162,0.16427998,0.653685,-1.3931115,-2.717641,-1.4794694,1.4955095,-1.5205705,0.15700178,3.02144
2011-01-11 02:00:00,1.2378881,0.75184304,-0.8367207,0.99451685,-0.54685545,-1.620481,-1.1758741,0.057151057,0.60910845,-1.2526774,-2.4049468,-1.501177,1.192998,-1.2535299,0.36822894,2.9831653
