total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,dropout_rate,hidden_units,l2_reg,learning_rate,min_delta,num_hidden_layers,positional_encoding,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
1,0,1,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,0.39583674,0.606021,0.407466,0.579413,0.388084,0.560396,0.399188,0.39583674
2,0,2,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,69,0.36789414,0.431683,0.355249,0.446350,0.376324,0.447798,0.388158,0.39583674
3,0,3,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,0.39583674,0.606021,0.407466,0.579413,0.388084,0.560396,0.399188,0.39583674
4,0,4,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,142,-0.23483654,0.848440,0.684780,0.657637,0.331081,0.565708,0.387844,0.39583674
5,0,5,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,123,0.30955858,0.624917,0.460921,0.546750,0.402705,0.482969,0.380256,0.39583674
6,0,6,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,51,0.37071752,0.465429,0.369623,0.479189,0.371447,0.564492,0.387586,0.39583674
7,0,7,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,77,0.35452874,0.424078,0.347214,0.449444,0.359405,0.579732,0.339062,0.39583674
8,0,8,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,139,0.38316486,0.512991,0.375534,0.508631,0.388252,0.580728,0.371736,0.39583674
9,0,9,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,105,-0.13086872,0.799841,0.621140,0.647856,0.331906,0.562720,0.378223,0.39583674
10,0,10,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],145,0.35024784,0.576210,0.367436,0.533487,0.338789,0.613368,0.291902,0.39583674
11,0,11,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,91,0.03174025,0.746061,0.563496,0.608063,0.358974,0.555778,0.366619,0.39583674
12,0,12,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,75,0.36758599,0.426741,0.350741,0.446726,0.378816,0.443176,0.385542,0.39583674
13,0,13,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,59,0.36863190,0.425709,0.350239,0.443894,0.380894,0.439685,0.388829,0.39583674
14,0,14,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,['typical_price'],93,0.35752487,0.479804,0.342484,0.506166,0.367552,0.440160,0.368362,0.39583674
15,0,15,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],151,0.22432829,0.584546,0.393296,0.535342,0.328308,0.724600,0.237143,0.39583674
16,1,1,features,1,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,63,0.18208855,0.697929,0.474530,0.636714,0.362052,0.710409,0.322953,0.39583674
17,1,2,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,69,0.36789414,0.431683,0.355249,0.446350,0.376324,0.447798,0.388158,0.39583674
18,1,3,features,1,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,139,0.38316486,0.512991,0.375534,0.508631,0.388252,0.580728,0.371736,0.39583674
19,1,4,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,51,0.37071752,0.465429,0.369623,0.479189,0.371447,0.564492,0.387586,0.39583674
20,1,5,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,51,0.38931734,0.598841,0.387616,0.608434,0.390452,0.611574,0.395420,0.39583674
21,1,6,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,53,0.36871362,0.458174,0.357845,0.464912,0.375959,0.496809,0.391691,0.39583674
22,1,7,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,66,0.37360547,0.455397,0.362231,0.447819,0.381188,0.450099,0.387452,0.39583674
23,1,8,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,59,0.36863190,0.425709,0.350239,0.443894,0.380894,0.439685,0.388829,0.39583674
24,1,9,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],51,0.37071752,0.465429,0.369623,0.479189,0.371447,0.564492,0.387586,0.39583674
25,1,10,features,1,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,141,0.38391422,0.540850,0.396355,0.492512,0.375620,0.433043,0.375353,0.39583674
26,1,11,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,51,0.38931734,0.598841,0.387616,0.608434,0.390452,0.611574,0.395420,0.39583674
27,1,12,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,0.39583674,0.606021,0.407466,0.579413,0.388084,0.560396,0.399188,0.39583674
28,1,13,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,True,,100,0.39721507,0.565748,0.422222,0.512662,0.380544,0.453266,0.373272,0.39721507
29,1,14,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,69,0.36789414,0.431683,0.355249,0.446350,0.376324,0.447798,0.388158,0.39721507
30,2,1,features,1,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,60,0.37016714,0.465190,0.358837,0.465052,0.377721,0.437438,0.381365,0.39721507
31,2,2,features,1,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,51,0.38931734,0.598841,0.387616,0.608434,0.390452,0.611574,0.395420,0.39721507
32,2,3,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,0.39583674,0.606021,0.407466,0.579413,0.388084,0.560396,0.399188,0.39721507
