total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,dropout_rate,hidden_units,l2_reg,learning_rate,min_delta,num_hidden_layers,positional_encoding,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
200,14,1,training,,10,0,16,0.14859859488492705,230,6.796621342488274e-05,0.01,8.987772274781143e-07,2,False,,59,0.40901208,0.601318,0.426186,0.564906,0.397563,0.412605,0.281758,0.43195906
201,14,2,training,,10,0,52,0.14859859488492705,230,5.893801596412593e-05,0.01,8.987772274781143e-07,2,False,,59,0.26552559,0.642320,0.471253,0.558306,0.392127,0.413097,0.282792,0.43195906
202,14,3,training,,10,0,52,0.14859859488492705,230,6.796621342488274e-05,0.009799181331479827,8.987772274781143e-07,2,False,,59,0.42271426,0.601055,0.449217,0.533003,0.405046,0.402757,0.286890,0.43195906
203,14,4,training,,10,0,16,0.14859859488492705,230,6.796621342488274e-05,0.005025535423601838,8.987772274781143e-07,2,False,,59,0.40225506,0.570600,0.423642,0.517602,0.387997,0.377154,0.287324,0.43195906
204,14,5,training,,10,0,16,0.14859859488492705,230,0.00015572549057511878,0.0016081576994328908,1.2228416710616842e-07,2,False,,59,0.42799430,0.674094,0.446485,0.597910,0.415667,0.364353,0.266894,0.43195906
205,14,6,training,,10,0,52,0.14859859488492705,230,0.0003077470659283931,0.008837399306585586,1e-06,2,False,,59,0.41619418,0.604878,0.444897,0.548955,0.397059,0.354505,0.268823,0.43195906
206,14,7,training,,10,0,64,0.14859859488492705,230,0.0003077470659283931,0.0051334321457008215,2.1940588248395155e-07,2,False,,59,0.39298054,0.615030,0.376068,0.599560,0.404255,0.363860,0.245327,0.43195906
207,14,8,training,,10,0,64,0.14859859488492705,230,6.796621342488274e-05,0.009799181331479827,8.987772274781143e-07,2,False,,59,0.41133256,0.574951,0.433591,0.507701,0.396494,0.393402,0.288684,0.43195906
208,14,9,training,,10,0,52,0.14859859488492705,230,0.0005515870898080038,0.009799181331479827,7.470391355182609e-07,2,False,,59,0.42271426,0.601055,0.449217,0.533003,0.405046,0.402757,0.286890,0.43195906
209,14,10,training,,10,0,52,0.14859859488492705,230,0.0003077470659283931,0.009799181331479827,8.987772274781143e-07,2,False,,59,0.42271426,0.601055,0.449217,0.533003,0.405046,0.402757,0.286890,0.43195906
210,14,11,training,,10,0,48,0.14859859488492705,230,0.00033527663179946633,0.009799181331479827,8.987772274781143e-07,2,False,,59,0.40488314,0.563085,0.426445,0.505501,0.390508,0.375185,0.286678,0.43195906
211,14,12,training,,10,0,48,0.14859859488492705,230,6.796621342488274e-05,0.0027837484759890728,8.987772274781143e-07,2,False,,59,0.40119204,0.645353,0.411893,0.573707,0.394058,0.409158,0.257426,0.43195906
212,14,13,training,,10,0,30,0.14859859488492705,230,0.000120878687857846,0.0016081576994328908,8.987772274781143e-07,2,False,,59,0.30480836,0.658800,0.442482,0.563806,0.389530,0.403250,0.264563,0.43195906
213,14,14,training,,10,0,16,0.14859859488492705,230,0.0003077470659283931,0.008837399306585586,8.987772274781143e-07,2,False,,59,0.39750525,0.514305,0.398432,0.488449,0.396887,0.347120,0.280130,0.43195906
214,15,1,refinement,,10,0,34,0.1307215830549245,256,3.9182808998120615e-05,0.0008775117018809297,8.750163176711506e-07,2,False,,48,0.39346111,0.653633,0.399178,0.561509,0.389650,0.353085,0.259944,0.43195906
215,15,2,refinement,,10,0,29,0.1613906141718048,231,1e-07,1e-05,7.296185141764881e-07,2,False,,48,0.38177413,0.623618,0.392090,0.586113,0.374897,0.510774,0.275562,0.43195906
216,15,3,refinement,,10,0,16,0.13078227202908269,230,5.920097828843936e-05,0.0025889259500523902,5.184240315730873e-07,2,False,,87,0.21920499,0.662565,0.491424,0.525140,0.386724,0.433849,0.283186,0.43195906
217,15,4,refinement,,10,0,35,0.1172194508905049,201,7.911365981886954e-05,0.0027819026799882555,9.209327662868586e-07,3,False,,116,0.27133674,0.587938,0.438043,0.503691,0.373926,0.399696,0.292537,0.43195906
218,15,5,refinement,,10,0,43,0.27738832630474175,126,0.0007299853815937983,0.0031085932390374836,8.464834683292622e-07,1,False,,129,0.37074553,0.561677,0.375427,0.521739,0.367625,0.439062,0.275362,0.43195906
219,15,6,refinement,,10,0,19,0.2123701821354295,94,0.0003093591348671388,0.006126844976263014,7.417193397066484e-07,1,True,,62,0.39640631,0.570430,0.418497,0.509091,0.381679,0.467456,0.307692,0.43195906
220,15,7,refinement,,10,0,38,0.03807918224433745,106,0.0005230530621921353,0.0016466879830447218,7.830088028335914e-07,3,False,['typical_price'],137,0.39437207,0.657786,0.413336,0.564368,0.381729,0.315412,0.262548,0.43195906
221,15,8,refinement,,10,0,23,0.07888489524794347,133,0.0007714531474605756,0.007332029017174865,2.9453315547686213e-08,1,True,['typical_price'],147,0.23978704,0.639456,0.459508,0.537572,0.375000,0.511580,0.285929,0.43195906
222,15,9,refinement,,10,0,48,0.07653482431172344,158,0.0003601878831322011,0.004966514213662041,4.996600447608071e-07,2,False,,121,0.25657254,0.606274,0.451075,0.509112,0.376266,0.452514,0.315121,0.43195906
223,15,10,refinement,,10,0,48,0.14152937687332143,126,2.6682491819075464e-06,0.002291760187300978,8.587031402211054e-07,1,False,,61,0.39693550,0.635237,0.416702,0.573789,0.383758,0.325283,0.260400,0.43195906
224,15,11,refinement,,10,0,18,0.07447895500717296,121,0.0005529095020170148,0.0017978197283468325,9.139562747541769e-07,3,False,['typical_price'],97,0.38879230,0.612959,0.402536,0.548315,0.379630,0.360763,0.271167,0.43195906
225,15,12,refinement,,10,0,20,0.241301405837627,109,0.0005715788090211963,0.0027198670005180686,1.1948898958184372e-07,2,True,,140,0.24500736,0.622735,0.457143,0.511802,0.375552,0.577949,0.232992,0.43195906
