DATE_TIME,OPEN,LOW,HIGH,CLOSE,BC-BO,BH-BL,BH-BO,BO-BL,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8
2017-09-18 16:00:00,-0.11668861838120338,-0.12447412638378096,-0.12439166406254065,-0.12094093378646112,-0.37485970943619085,0.02119961644342485,-0.8255857824309742,0.8885566254893834,-0.09769375647392874,-0.10344158979652801,-0.11294063899419286,-0.10896006794787538,-0.10119507427684495,-0.09956015629652136,-0.09752261376119384,-0.10364741941560948,-0.10930707515324053,-0.11269863972065117,-0.10759518069958214,-0.09365650349454793,-0.10344093600980364,-0.10895114530947848,-0.09955396048129816,-0.10364280984652939
2017-09-18 17:00:00,-0.12099872172588438,-0.11515609014024546,-0.12183883745773277,-0.11935757016929419,0.1452329564750915,-0.5402781272833304,-0.08107010094105534,-0.6519941542920016,-0.1012121773000255,-0.099571319563708,-0.09754793808894288,-0.10368207188129333,-0.10849589205476194,-0.10633333104546747,-0.09857813568648717,-0.09854521397351847,-0.10763585224868036,-0.093698508278323,-0.10346108932813904,-0.10896235975798492,-0.09957061483453564,-0.10367318161386029,-0.10632716318741507,-0.09854062241229344
2017-09-18 18:00:00,-0.1192394958709123,-0.12007882626890647,-0.11171555954211983,-0.10739437839513358,1.0456919004412972,0.7066399789152827,0.8257118188223075,0.10337267966537143,-0.10851290051417807,-0.10634429247114252,-0.09860343757958774,-0.0985800090169318,-0.10181080589666931,-0.10474999149376504,-0.10236042258545947,-0.10294366694083763,-0.10350177453739828,-0.10900416971797733,-0.09959087612934103,-0.10368447828783309,-0.10634367689125417,-0.09857115004143047,-0.10474381710027013,-0.10293905985559962
2017-09-18 19:00:00,-0.10727676005710063,-0.10372830984156982,-0.10837047640478639,-0.10510729761477808,0.19180841909411078,-0.37256399604032464,-0.10970531945989835,-0.39357918478036813,-0.10182790094459264,-0.10476100010317008,-0.1023856440877364,-0.1029783390724152,-0.10700054383518874,-0.10527777134433382,-0.11660996857693104,-0.12607952954894017,-0.09963157412683613,-0.1037263554284402,-0.10636374922723706,-0.09858252620002075,-0.10476036368318936,-0.10296945312111067,-0.10527159912931974,-0.1260748408073938
2017-09-18 20:00:00,-0.10534161161663214,-0.10003625774507603,-0.10713807735418976,-0.1049313683239824,0.0365568770310538,-0.5767377210317527,-0.1860659021767177,-0.5923599305586242,-0.10701757166308674,-0.10528876422582886,-0.1166348872114538,-0.12611355516426165,-0.12775949558926253,-0.125949148824884,-0.12109593675943156,-0.11851419044514963,-0.10640442484531941,-0.09862446828188877,-0.10478048019136452,-0.10298076075847899,-0.1052881347525456,-0.12610452732023228,-0.1259430619337029,-0.11850952840490563
2017-09-18 21:00:00,-0.10498976644563733,-0.10161856578642968,-0.1105711889951378,-0.10739437839513358,-0.21184559026997268,-0.7298680147756518,-0.59650403428023,-0.3737011102026419,-0.12777625453705926,-0.12595952569657093,-0.12112076004669839,-0.11854842746882863,-0.11808371299202548,-0.11768059783266392,-0.11916081322972454,-0.12572765331155422,-0.10482116104099791,-0.10302264685650141,-0.10530823653665666,-0.126115474535973,-0.12595916830227136,-0.11853944602318076,-0.11767447681194963,-0.12572296581192893
2017-09-18 22:00:00,-0.1063971471296146,-0.1002999757519683,-0.10801836239032993,-0.10185260573504343,0.4013980008793482,-0.6277811522796461,-0.16697575649758448,-0.68181126615874,-0.11810059726529314,-0.11769122110827411,-0.1191856776471802,-0.12576168875982258,-0.11632447979252587,-0.10686111089603428,-0.10737415173060665,-0.10294366694083763,-0.10534891564243971,-0.1261570661589676,-0.12597869339387216,-0.11855051109542328,-0.11769075488238105,-0.12575266307385746,-0.10685494521646273,-0.10293905985559962
2017-09-18 23:00:00,-0.10191112119943523,-0.09493770961182083,-0.10520145027468217,-0.09850994920991192,0.30048449853815273,-0.839246796021065,-0.34833214045035243,-0.7812016390478282,-0.1163413868522428,-0.10687205659379935,-0.10739926666830342,-0.1029783390724152,-0.10594500391548899,-0.11117131300900124,-0.10499922739869472,-0.10628649119600098,-0.1260193041988501,-0.1185921990106323,-0.11771051065098595,-0.12576361577129594,-0.10687144796060845,-0.10296945312111067,-0.11116516512035655,-0.1062818723125131
2017-09-19 00:00:00,-0.0985685920749875,-0.09291587155897875,-0.10035988257591025,-0.09507932803937966,0.3082470756413873,-0.6059053960306219,-0.18606590217690863,-0.6321160797140766,-0.10596204541525654,-0.11118213026216801,-0.10502439281435051,-0.10632106991458337,-0.10233857585651822,-0.10114349584822378,-0.10499922739869472,-0.10663836743338691,-0.11775114877628594,-0.1258052118729982,-0.10689150557252725,-0.10298076075847899,-0.11118157836033966,-0.10631216346166841,-0.10113730656844311,-0.10663374730797798
2017-09-19 01:00:00,-0.09469829519404854,-0.08808104143261583,-0.09340563079040151,-0.09147277757805171,0.28495934433191644,-0.43089934603777136,0.14801164720968904,-0.7414454898921373,-0.10235566406850677,-0.10115461193168045,-0.10502439281435051,-0.10667293631902244,-0.10304226913631806,-0.10703703751289119,-0.10667047044707646,-0.10487898624645924,-0.10693217944675926,-0.10302264685650141,-0.11120151572573504,-0.10632341902290803,-0.10115392804260044,-0.10666402770804322,-0.10703087255947992,-0.10487437233065551
