DATE_TIME,typical_price,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8
2018-12-17 21:00:00,1.13462,1.13476,1.13488,1.13509,1.13557,1.13555,1.13546,1.13549,1.13546,1.13345,1.13352,1.13392,1.13398,1.13488,1.13557,1.13546,1.13546
2018-12-17 22:00:00,1.1345633333333334,1.13555,1.13546,1.13549,1.13546,1.13553,1.13495,1.13497,1.13464,1.13392,1.13398,1.13488,1.13557,1.13546,1.13546,1.13495,1.13464
2018-12-17 23:00:00,1.13486,1.13553,1.13495,1.13497,1.13464,1.13469,1.1347200000000002,1.1345299999999998,1.13438,1.13488,1.13557,1.13546,1.13546,1.13495,1.13464,1.1347200000000002,1.13438
2018-12-18 00:00:00,1.1347133333333332,1.13469,1.1347200000000002,1.1345299999999998,1.13438,1.13465,1.13471,1.13471,1.13485,1.13546,1.13546,1.13495,1.13464,1.1347200000000002,1.13438,1.13471,1.13485
2018-12-18 01:00:00,1.135406666666667,1.13465,1.13471,1.13471,1.13485,1.1348,1.13475,1.13473,1.13491,1.13495,1.13464,1.1347200000000002,1.13438,1.13471,1.13485,1.13475,1.13491
2018-12-18 02:00:00,1.1353933333333333,1.1348,1.13475,1.13473,1.13491,1.13515,1.13493,1.13493,1.1352799999999998,1.1347200000000002,1.13438,1.13471,1.13485,1.13475,1.13491,1.13493,1.1352799999999998
2018-12-18 03:00:00,1.13521,1.13515,1.13493,1.13493,1.1352799999999998,1.13502,1.13467,1.13458,1.1348200000000002,1.13471,1.13485,1.13475,1.13491,1.13493,1.1352799999999998,1.13467,1.1348200000000002
2018-12-18 04:00:00,1.1349233333333333,1.13502,1.13467,1.13458,1.1348200000000002,1.13499,1.13586,1.13586,1.1353799999999998,1.13475,1.13491,1.13493,1.1352799999999998,1.13467,1.1348200000000002,1.13586,1.1353799999999998
2018-12-18 05:00:00,1.1343866666666669,1.13499,1.13586,1.13586,1.1353799999999998,1.13556,1.1353799999999998,1.13533,1.13511,1.13493,1.1352799999999998,1.13467,1.1348200000000002,1.13586,1.1353799999999998,1.1353799999999998,1.13511
2018-12-18 06:00:00,1.134016666666667,1.13556,1.1353799999999998,1.13533,1.13511,1.13521,1.13536,1.13542,1.13547,1.13467,1.1348200000000002,1.13586,1.1353799999999998,1.1353799999999998,1.13511,1.13536,1.13547
2018-12-18 07:00:00,1.1350533333333337,1.13521,1.13536,1.13542,1.13547,1.1354799999999998,1.1352799999999998,1.13473,1.13438,1.13586,1.1353799999999998,1.1353799999999998,1.13511,1.13536,1.13547,1.1352799999999998,1.13438
2018-12-18 08:00:00,1.1366866666666666,1.1354799999999998,1.1352799999999998,1.13473,1.13438,1.13415,1.13438,1.1345,1.13419,1.1353799999999998,1.13511,1.13536,1.13547,1.1352799999999998,1.13438,1.13438,1.13419
2018-12-18 09:00:00,1.13733,1.13415,1.13438,1.1345,1.13419,1.1344,1.13425,1.13388,1.13427,1.13536,1.13547,1.1352799999999998,1.13438,1.13438,1.13419,1.13425,1.13427
2018-12-18 10:00:00,1.13831,1.1344,1.13425,1.13388,1.13427,1.13426,1.13475,1.13578,1.13656,1.1352799999999998,1.13438,1.13438,1.13419,1.13425,1.13427,1.13475,1.13656
2018-12-18 11:00:00,1.1393166666666668,1.13426,1.13475,1.13578,1.13656,1.13698,1.13735,1.13695,1.13711,1.13438,1.13419,1.13425,1.13427,1.13475,1.13656,1.13735,1.13711
2018-12-18 12:00:00,1.13844,1.13698,1.13735,1.13695,1.13711,1.13708,1.13749,1.1376,1.13793,1.13425,1.13427,1.13475,1.13656,1.13735,1.13711,1.13749,1.13793
