DATE_TIME,OPEN,HIGH,LOW,CLOSE,buy_entry_label,sell_entry_label,buy_exit_label,sell_exit_label,bars_to_friday
2017-09-20 05:00:00,1.20071,1.20161,1.1996,1.20071,0,0,0,0,1951
2017-09-20 09:00:00,1.20072,1.2022,1.19894,1.19922,0,0,0,0,1950
2017-09-20 13:00:00,1.19922,1.2006,1.19843,1.20045,0,0,0,0,1949
2017-09-20 17:00:00,1.20044,1.20346,1.18615,1.18926,0,0,0,1,1948
2017-09-20 21:00:00,1.1893,1.18987,1.1866,1.18777,0,0,0,0,1947
2017-09-21 01:00:00,1.18778,1.18916,1.18672,1.18833,1,0,1,0,1946
2017-09-21 05:00:00,1.18832,1.19182,1.18766,1.19137,0,0,0,0,1945
2017-09-21 09:00:00,1.19136,1.19228,1.18909,1.19167,1,0,1,0,1944
2017-09-21 13:00:00,1.19168,1.19539,1.19088,1.19328,1,0,1,0,1943
2017-09-21 17:00:00,1.19323,1.19427,1.19283,1.19416,1,0,1,0,1942
2017-09-21 21:00:00,1.19416,1.1949,1.19378,1.19419,1,0,1,0,1941
2017-09-22 01:00:00,1.19419,1.19651,1.19411,1.19604,1,0,1,0,1940
2017-09-22 05:00:00,1.19603,1.20029,1.19579,1.19904,0,0,0,0,1939
2017-09-22 09:00:00,1.19904,1.20048,1.19588,1.19718,0,0,0,0,1938
2017-09-22 13:00:00,1.19719,1.19838,1.19372,1.19449,0,0,0,0,1937
2017-09-22 17:00:00,1.19448,1.19547,1.19399,1.19476,0,1,0,1,1936
2017-09-24 21:00:00,1.19036,1.1935,1.18994,1.19285,0,1,0,1,1935
2017-09-25 01:00:00,1.19283,1.19367,1.19189,1.19335,0,1,0,1,1934
2017-09-25 05:00:00,1.19336,1.19358,1.18988,1.19054,0,1,0,1,1933
2017-09-25 09:00:00,1.19054,1.19069,1.18643,1.1873,0,0,0,0,1932
2017-09-25 13:00:00,1.1873,1.18902,1.18322,1.18451,0,0,0,0,1931
2017-09-25 17:00:00,1.18452,1.18557,1.18374,1.18486,0,0,0,0,1930
2017-09-25 21:00:00,1.18488,1.18595,1.18456,1.18545,0,1,0,1,1929
2017-09-26 01:00:00,1.18545,1.18616,1.1853,1.18537,0,1,0,1,1928
2017-09-26 05:00:00,1.18538,1.18591,1.18099,1.18174,0,0,0,0,1927
2017-09-26 09:00:00,1.18174,1.18293,1.1781,1.17921,0,0,0,0,1926
2017-09-26 13:00:00,1.1792,1.17975,1.17575,1.17822,0,0,0,0,1925
2017-09-26 17:00:00,1.1782,1.18106,1.17819,1.1794,0,1,0,1,1924
2017-09-26 21:00:00,1.1794,1.17947,1.1777,1.1788,0,1,0,1,1923
2017-09-27 01:00:00,1.17881,1.17953,1.17778,1.17794,0,1,0,1,1922
2017-09-27 05:00:00,1.17794,1.17843,1.17314,1.17363,0,0,0,0,1921
2017-09-27 09:00:00,1.1736,1.17571,1.17184,1.17204,1,0,1,0,1920
2017-09-27 13:00:00,1.17204,1.17766,1.17173,1.17525,0,0,0,0,1919
2017-09-27 17:00:00,1.17525,1.17657,1.17447,1.17452,0,0,0,0,1918
2017-09-27 21:00:00,1.17454,1.17565,1.17411,1.17487,0,0,0,1,1917
2017-09-28 01:00:00,1.17487,1.17513,1.17272,1.1732,0,0,0,0,1916
2017-09-28 05:00:00,1.17322,1.17726,1.17214,1.17668,1,0,1,0,1915
2017-09-28 09:00:00,1.1767,1.17848,1.1759,1.17671,1,0,1,0,1914
2017-09-28 13:00:00,1.17673,1.18043,1.17667,1.17841,0,0,0,0,1913
2017-09-28 17:00:00,1.17841,1.17938,1.17783,1.17866,0,0,0,0,1912
2017-09-28 21:00:00,1.17866,1.17893,1.17775,1.17864,0,0,0,0,1911
2017-09-29 01:00:00,1.17865,1.17908,1.17759,1.17791,1,0,1,0,1910
2017-09-29 05:00:00,1.17791,1.18089,1.17727,1.18,0,0,0,0,1909
2017-09-29 09:00:00,1.17996,1.18327,1.1789,1.18294,0,1,0,1,1908
2017-09-29 13:00:00,1.18295,1.18321,1.17919,1.18031,0,0,1,0,1907
2017-09-29 17:00:00,1.18028,1.18262,1.18003,1.18165,0,1,0,1,1906
2017-10-01 21:00:00,1.17944,1.18156,1.1788,1.17896,0,1,0,1,1905
2017-10-02 01:00:00,1.17898,1.17915,1.17707,1.17769,0,1,0,1,1904
2017-10-02 05:00:00,1.17769,1.17769,1.17339,1.17456,0,0,0,0,1903
2017-10-02 09:00:00,1.17457,1.17634,1.17303,1.17579,0,1,0,1,1902
2017-10-02 13:00:00,1.17579,1.17612,1.17307,1.1743,0,1,0,1,1901
2017-10-02 17:00:00,1.17431,1.17499,1.17318,1.17336,0,1,0,1,1900
2017-10-02 21:00:00,1.17334,1.17406,1.17194,1.17199,0,0,0,0,1899
2017-10-03 01:00:00,1.17201,1.17205,1.17021,1.17068,0,0,0,0,1898
2017-10-03 05:00:00,1.17069,1.17479,1.16963,1.17334,1,0,1,0,1897
2017-10-03 09:00:00,1.17332,1.17623,1.1733,1.17489,0,0,0,0,1896
2017-10-03 13:00:00,1.17488,1.17733,1.17477,1.17532,0,0,0,0,1895
2017-10-03 17:00:00,1.17533,1.17562,1.17393,1.17443,1,0,1,0,1894
2017-10-03 21:00:00,1.17443,1.17797,1.17357,1.17749,0,0,0,1,1893
2017-10-04 01:00:00,1.1775,1.17799,1.17638,1.17675,0,0,0,0,1892
2017-10-04 05:00:00,1.17674,1.17773,1.17473,1.1757,0,0,1,0,1891
2017-10-04 09:00:00,1.17569,1.17883,1.17533,1.17719,0,1,0,1,1890
2017-10-04 13:00:00,1.1772,1.17732,1.17467,1.17631,0,0,0,0,1889
2017-10-04 17:00:00,1.17631,1.17663,1.17548,1.17592,0,0,0,0,1888
2017-10-04 21:00:00,1.17593,1.17635,1.1752,1.17548,1,0,1,0,1887
2017-10-05 01:00:00,1.17548,1.17597,1.17515,1.17594,0,0,0,0,1886
2017-10-05 05:00:00,1.17594,1.17791,1.17481,1.17755,0,1,0,1,1885
2017-10-05 09:00:00,1.17757,1.17761,1.17251,1.17308,0,1,0,1,1884
2017-10-05 13:00:00,1.17308,1.17354,1.17031,1.17094,0,0,0,1,1883
2017-10-05 17:00:00,1.17094,1.17123,1.16993,1.17119,0,1,0,1,1882
2017-10-05 21:00:00,1.17119,1.17148,1.16993,1.17117,0,1,0,1,1881
2017-10-06 01:00:00,1.17117,1.17158,1.16863,1.16998,0,0,0,0,1880
2017-10-06 05:00:00,1.16999,1.17068,1.16862,1.16965,0,0,0,0,1879
2017-10-06 09:00:00,1.16964,1.17149,1.16697,1.16909,1,0,1,0,1878
