DATE_TIME,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8
2018-12-19 16:00:00,1.1402525,1.1401625,1.1400975,1.140075,1.1401425,1.1403075,1.1404075,1.14048,1.14017,1.1399625,1.1402575,1.1400175,1.1401625,1.140075,1.1403075,1.14048
2018-12-19 20:00:00,1.1418225,1.1419725,1.1418325,1.1421750000000002,1.142465,1.14257,1.142425,1.1426925,1.14072,1.1409675,1.141325,1.1416975,1.1419725,1.142175,1.14257,1.1426925
2018-12-20 00:00:00,1.140345,1.1405325,1.139985,1.1393650000000002,1.139085,1.1394075,1.13876,1.13806,1.142755,1.1417000000000002,1.14162,1.1406575,1.1405325,1.139365,1.1394075,1.13806
2018-12-20 04:00:00,1.13796,1.1382775,1.138115,1.1380025,1.138055,1.138215,1.1382575,1.1381375,1.138195,1.13796,1.1382725,1.13784,1.1382775,1.1380024999999998,1.138215,1.1381375
2018-12-20 08:00:00,1.138025,1.1381225,1.13821,1.1382575,1.138245,1.1382625000000002,1.13839,1.1384,1.1381975,1.13802,1.1380775,1.1380175,1.1381225,1.1382575,1.1382625000000002,1.1384
2018-12-20 12:00:00,1.1407525,1.1408049999999998,1.1410725,1.142015,1.142745,1.142885,1.1433,1.144195,1.1387575,1.1392875,1.139705,1.1402899999999998,1.140805,1.142015,1.142885,1.144195
2018-12-20 16:00:00,1.1466925,1.146705,1.146775,1.14663,1.1463625,1.1465075,1.1459675,1.146295,1.1447375,1.1457799999999998,1.14604,1.14679,1.146705,1.14663,1.1465075,1.146295
2018-12-20 20:00:00,1.143705,1.14349,1.14355,1.144265,1.14384,1.1435400000000002,1.1438675,1.1440725,1.1457775,1.14532,1.1444125,1.1442225,1.14349,1.144265,1.1435400000000002,1.1440725
2018-12-21 00:00:00,1.1468975,1.14666,1.146495,1.146475,1.146815,1.1463825,1.146165,1.14635,1.1441975,1.1451425,1.1454975,1.1463725,1.14666,1.146475,1.1463825,1.14635
2018-12-21 04:00:00,1.1453449999999998,1.1453575,1.1449825,1.145215,1.1452325,1.1453775,1.1451475,1.1453025,1.14592,1.1456525,1.1456325,1.1453824999999995,1.1453575,1.145215,1.1453775,1.1453025
2018-12-21 08:00:00,1.1449725,1.14501,1.14483,1.1447325,1.144835,1.14489,1.1446975,1.1447325,1.1454075,1.145165,1.1451475,1.1448575,1.14501,1.1447325,1.14489,1.1447325
2018-12-21 12:00:00,1.1457574999999998,1.1456875,1.14538,1.1453025,1.14514,1.1451775,1.14491,1.1445150000000002,1.1449425,1.1449575,1.1455125000000002,1.145635,1.1456875,1.1453025,1.1451775,1.1445150000000002
2018-12-21 16:00:00,1.1419225,1.142005,1.14216,1.141915,1.141675,1.141645,1.1417324999999998,1.1418325,1.144345,1.14353,1.143205,1.142355,1.1420050000000002,1.141915,1.141645,1.1418325
2018-12-21 20:00:00,1.140785,1.1405825,1.1406925,1.14078,1.14036,1.1400025,1.140065,1.13953,1.141385,1.1415375,1.14064,1.141285,1.1405825,1.14078,1.1400025,1.13953
2018-12-24 00:00:00,1.13884,1.1387625,1.1389925,1.1383825,1.1383675,1.1380925,1.1380025,1.137385,1.1396525,1.1401625,1.139495,1.1394425,1.1387625,1.1383825,1.1380925,1.137385
2018-12-24 04:00:00,1.1366875,1.1368425,1.1371875,1.137325,1.1371925,1.1372475,1.137445,1.1376275,1.1363925,1.1365675,1.13646,1.1368575,1.1368425,1.137325,1.1372475,1.1376275
2018-12-24 08:00:00,1.1384975,1.13855,1.1387225,1.1386875,1.1388025,1.138855,1.1389825,1.1389125,1.137855,1.1380775,1.1382150000000002,1.138445,1.1385500000000002,1.1386875,1.138855,1.1389125
2018-12-24 12:00:00,1.1389575,1.1387775,1.138695,1.1392625,1.1391975,1.1389925,1.1387999999999998,1.1396525,1.1387175,1.1388375,1.1386825,1.1389200000000002,1.1387775,1.1392625,1.1389925,1.1396525
2018-12-24 16:00:00,1.1403925,1.139965,1.1399125,1.140135,1.1405525,1.1401325,1.1403825,1.1404299999999998,1.1395925,1.13998,1.1398625,1.1400199999999998,1.139965,1.140135,1.1401325,1.1404299999999998
2018-12-24 20:00:00,1.141475,1.141245,1.141805,1.141725,1.141625,1.14141,1.1416925,1.141835,1.14067,1.1410575,1.140875,1.14155,1.141245,1.141725,1.14141,1.141835
2018-12-27 00:00:00,1.1398425,1.13951,1.1399125,1.139775,1.13983,1.13986,1.1398775,1.14011,1.1405575,1.1401225,1.1400775,1.1399175,1.1395499999999998,1.1398475,1.1399075,1.1401074999999998
2018-12-27 04:00:00,1.1357625,1.1358125,1.1359325,1.1360275,1.13614,1.1363175,1.13647,1.1366925,1.13535,1.135235,1.1353675,1.1356575,1.1358125,1.1360275,1.1363175,1.1366925
2018-12-27 08:00:00,1.137945,1.1379675,1.1379925,1.1381075,1.1382325,1.1382175,1.138225,1.1380499999999998,1.136885,1.1372524999999998,1.1375225,1.137775,1.1379675,1.1381075,1.1382175,1.1380499999999998
2018-12-27 12:00:00,1.1383475,1.1384425,1.1384525,1.1384275,1.138815,1.1386699999999998,1.138735,1.138895,1.1384775,1.13805,1.13827,1.1380374999999998,1.1384425,1.1384275,1.1386699999999998,1.138895
2018-12-27 16:00:00,1.139685,1.1393525,1.138835,1.1392675,1.139335,1.1394075,1.1389225,1.13931,1.1390225,1.139375,1.139465,1.1397625,1.1393525,1.1392675,1.1394075,1.13931
