DATE_TIME,typical_price,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8
2012-10-23 12:00:00,1.3007625,1.3038825,1.303785,1.3036225,1.30335,1.30343,1.3032225000000002,1.303125,1.30301,1.30509,1.3047275,1.304385,1.3039775,1.303785,1.30335,1.3032225000000002,1.30301
2012-10-23 16:00:00,1.2966883333333332,1.3018625,1.3003625,1.300195,1.30016,1.3002225,1.298725,1.29864,1.298645,1.3023825,1.30232,1.3019425,1.3018200000000002,1.3003625,1.30016,1.298725,1.298645
2012-10-23 20:00:00,1.2976283333333334,1.2969025,1.2966475000000002,1.29693,1.2969425,1.2969475,1.2967425,1.297,1.296805,1.2975875,1.297475,1.296345,1.29663,1.2966475000000002,1.2969425,1.2967425,1.296805
2012-10-24 00:00:00,1.2980358333333333,1.2975275000000002,1.297505,1.29773,1.2976925,1.2978,1.2978375,1.2980325,1.2981075,1.2970175000000002,1.29724,1.29748,1.2975249999999998,1.297505,1.2976925,1.2978375,1.2981075
2012-10-24 04:00:00,1.2985283333333335,1.2981224999999998,1.2978875,1.29798,1.2979525,1.2980975,1.29797,1.29807,1.298085,1.298145,1.2980725,1.2980525,1.2980025,1.2978875,1.2979525,1.29797,1.298085
2012-10-24 08:00:00,1.2969308333333334,1.29857,1.2985775,1.2985375,1.298585,1.2985575,1.2985675,1.298325,1.29842,1.2980375,1.298305,1.2983025,1.298555,1.2985775,1.298585,1.2985675,1.29842
2012-10-24 12:00:00,1.2939841666666667,1.2969375,1.29673,1.2965575,1.2959875,1.2957525,1.29556,1.295445,1.294785,1.29865,1.29864,1.298095,1.2972775,1.29673,1.2959875,1.29556,1.294785
2012-10-24 16:00:00,1.2959216666666666,1.2943224999999998,1.2940550000000002,1.2942,1.2946925,1.29511,1.294815,1.29516,1.2952625000000002,1.2943475000000002,1.29339,1.2938425000000002,1.293565,1.2940550000000002,1.2946925,1.294815,1.2952625000000002
2012-10-24 20:00:00,1.2962916666666668,1.29582,1.2959025,1.2959675,1.29528,1.2954475,1.2955475,1.2955625,1.2953450000000002,1.295455,1.2958475000000005,1.2956275000000002,1.2959975,1.2959025,1.29528,1.2955475,1.2953450000000002
2012-10-25 00:00:00,1.2968008333333332,1.2963575,1.2963300000000002,1.296575,1.2965675,1.2968075,1.29666,1.296905,1.296675,1.2955,1.295485,1.2958175,1.2960225,1.2963300000000002,1.2965675,1.29666,1.296675
2012-10-25 04:00:00,1.2976541666666668,1.296855,1.2966675,1.2967225,1.2967125,1.297075,1.296855,1.29682,1.29725,1.29657,1.2967025,1.29658,1.296655,1.2966675,1.2967125,1.296855,1.29725
2012-10-25 08:00:00,1.3002483333333332,1.29785,1.2978925,1.2975775,1.29805,1.2980874999999998,1.2981875,1.298235,1.298655,1.297385,1.297635,1.2977875,1.29773,1.2978925,1.29805,1.2981875,1.298655
2012-10-25 12:00:00,1.2997025,1.30014,1.300205,1.3003525,1.30036,1.3008075,1.3009375,1.30062,1.30022,1.2987525,1.2988725,1.2994,1.2998925,1.300205,1.30036,1.3009375,1.30022
2012-10-25 16:00:00,1.2962891666666665,1.300375,1.29976,1.2995100000000002,1.299195,1.299545,1.298685,1.2985325,1.298365,1.3008449999999998,1.3003825,1.300575,1.299895,1.29976,1.299195,1.298685,1.298365
2012-10-25 20:00:00,1.2945708333333332,1.296265,1.296075,1.29626,1.29602,1.2957125,1.2955825,1.2957625,1.2954175,1.2977075,1.2973425,1.2967399999999998,1.2965275,1.296075,1.29602,1.2955825,1.2954175
