Metric,Average,Std Dev,Max,Min
Training MAE,0.033218552048007645,0.031307972423174124,0.07744579017162323,0.009302916936576366
Training R²,0.9488355598311601,0.06611212974013643,0.9966597495937922,0.8553472067626883
Validation MAE,0.02979173728575309,0.030680672201559657,0.07284720242023468,0.0036136647686362267
Validation R²,0.6743817137530109,0.4343755204647113,0.9959200612517985,0.0603102595281105
