Metric,Average,Std Dev,Max,Min
Training MAE,0.0016757621078915019,0.0,0.0016757621078915019,0.0016757621078915019
Training R²,0.9997452919917835,0.0,0.9997452919917835,0.9997452919917835
Validation MAE,0.14163880467734472,0.0,0.14163880467734472,0.14163880467734472
Validation R²,-3.6024532797755096,0.0,-3.6024532797755096,-3.6024532797755096
