Metric,Average,Std Dev,Max,Min
Training MAE,0.0057515666509668035,0.0004997834511247422,0.006312924902886152,0.005098956171423197
Training R²,0.9988342749368156,0.00016111241643454563,0.9990481800028356,0.998659357095432
Validation MAE,0.0038971581185857453,0.0010595612270611107,0.005303428042680025,0.0027459063567221165
Validation R²,0.994222181730665,0.004678657356201252,0.9981551838987804,0.9876477122825337
