Metric,Average,Std Dev,Max,Min
Training MAE,0.005425018724054098,9.328350315160235e-05,0.0055515277199447155,0.005329370964318514
Training R²,0.997529833791777,4.755555113688532e-05,0.9975828402959696,0.9974674832447916
Validation MAE,0.013436852023005486,9.63707437374038e-05,0.013554196804761887,0.013318149372935295
Validation R²,0.9529925471386691,0.0010278909916678221,0.9544153824271305,0.9520232639431147
