DATE_TIME,typical_price,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8
2017-09-20 10:00:00,1.2005966666666663,1.20107,1.20124,1.20096,1.20117,1.20075,1.20004,1.19994,1.20117,1.20077,1.20055,1.20071,1.20086,1.20124,1.20117,1.20004,1.20117
2017-09-20 11:00:00,1.2004266666666668,1.20075,1.20004,1.19994,1.20117,1.2002,1.20014,1.19992,1.20068,1.20071,1.20086,1.20124,1.20117,1.20004,1.20117,1.20014,1.20068
2017-09-20 12:00:00,1.1997033333333331,1.2002,1.20014,1.19992,1.20068,1.20046,1.20094,1.20069,1.20099,1.20124,1.20117,1.20004,1.20117,1.20014,1.20068,1.20094,1.20099
2017-09-20 13:00:00,1.19959,1.20046,1.20094,1.20069,1.20099,1.20085,1.20145,1.20126,1.2009,1.20004,1.20117,1.20014,1.20068,1.20094,1.20099,1.20145,1.2009
2017-09-20 14:00:00,1.1995733333333334,1.20085,1.20145,1.20126,1.2009,1.2004,1.20014,1.20053,1.20045,1.20014,1.20068,1.20094,1.20099,1.20145,1.2009,1.20014,1.20045
2017-09-20 15:00:00,1.1993666666666665,1.2004,1.20014,1.20053,1.20045,1.20036,1.2003700000000002,1.20047,1.20065,1.20094,1.20099,1.20145,1.2009,1.20014,1.20045,1.2003700000000002,1.20065
2017-09-20 16:00:00,1.2001966666666666,1.20036,1.2003700000000002,1.20047,1.20065,1.19985,1.19951,1.19921,1.19949,1.20145,1.2009,1.20014,1.20045,1.2003700000000002,1.20065,1.19951,1.19949
2017-09-20 17:00:00,1.2007,1.19985,1.19951,1.19921,1.19949,1.19961,1.19999,1.19958,1.19918,1.20014,1.20045,1.2003700000000002,1.20065,1.19951,1.19949,1.19999,1.19918
2017-09-20 18:00:00,1.192753333333333,1.19961,1.19999,1.19958,1.19918,1.19989,1.2,1.19949,1.19889,1.2003700000000002,1.20065,1.19951,1.19949,1.19999,1.19918,1.2,1.19889
2017-09-20 19:00:00,1.1885333333333332,1.19989,1.2,1.19949,1.19889,1.1992,1.19986,1.19976,1.2,1.19951,1.19949,1.19999,1.19918,1.2,1.19889,1.19986,1.2
2017-09-20 20:00:00,1.1893466666666666,1.1992,1.19986,1.19976,1.2,1.2002,1.2003,1.2004,1.20013,1.19999,1.19918,1.2,1.19889,1.19986,1.2,1.2003,1.20013
2017-09-20 21:00:00,1.1889966666666667,1.2002,1.2003,1.2004,1.20013,1.19979,1.20074,1.20117,1.1947299999999998,1.2,1.19889,1.19986,1.2,1.2003,1.20013,1.20074,1.1947299999999998
2017-09-20 22:00:00,1.18899,1.19979,1.20074,1.20117,1.1947299999999998,1.19031,1.18825,1.18901,1.1880700000000002,1.19986,1.2,1.2003,1.20013,1.20074,1.1947299999999998,1.18825,1.1880700000000002
2017-09-20 23:00:00,1.1876533333333332,1.19031,1.18825,1.18901,1.1880700000000002,1.1880700000000002,1.18952,1.18911,1.18948,1.2003,1.20013,1.20074,1.1947299999999998,1.18825,1.1880700000000002,1.18952,1.18948
2017-09-21 00:00:00,1.1874900000000002,1.1880700000000002,1.18952,1.18911,1.18948,1.18986,1.18955,1.18914,1.18909,1.20074,1.1947299999999998,1.18825,1.1880700000000002,1.18952,1.18948,1.18955,1.18909
2017-09-21 01:00:00,1.1874733333333332,1.18986,1.18955,1.18914,1.18909,1.1887,1.1886,1.18942,1.18936,1.18825,1.1880700000000002,1.18952,1.18948,1.18955,1.18909,1.1886,1.18936
2017-09-21 02:00:00,1.1879966666666666,1.1887,1.1886,1.18942,1.18936,1.18884,1.189,1.18892,1.1882,1.18952,1.18948,1.18955,1.18909,1.1886,1.18936,1.189,1.1882
2017-09-21 03:00:00,1.1885533333333334,1.18884,1.189,1.18892,1.1882,1.18749,1.18795,1.18742,1.1867,1.18955,1.18909,1.1886,1.18936,1.189,1.1882,1.18795,1.1867
2017-09-21 04:00:00,1.18837,1.18749,1.18795,1.18742,1.1867,1.18747,1.18796,1.18775,1.18759,1.1886,1.18936,1.189,1.1882,1.18795,1.1867,1.18796,1.18759
2017-09-21 05:00:00,1.188146666666667,1.18747,1.18796,1.18775,1.18759,1.18747,1.18713,1.1875,1.18765,1.189,1.1882,1.18795,1.1867,1.18796,1.18759,1.18713,1.18765
2017-09-21 06:00:00,1.1891533333333333,1.18747,1.18713,1.1875,1.18765,1.1880700000000002,1.18772,1.18852,1.18842,1.18795,1.1867,1.18796,1.18759,1.18713,1.18765,1.18772,1.18842
2017-09-21 07:00:00,1.1894766666666663,1.1880700000000002,1.18772,1.18852,1.18842,1.18855,1.18887,1.18849,1.1882700000000002,1.18796,1.18759,1.18713,1.18765,1.18772,1.18842,1.18887,1.1882700000000002
