DATE_TIME,RSI,MACD,MACD_Signal,MACD_Histogram,EMA,Stochastic_%K,Stochastic_%D,ADX,DI+,DI-,ATR,CCI,BB_MID_20_2,BB_UP_20_2,BB_LOW_20_2,BB_WIDTH_20_2,WilliamsR,Momentum,ROC,S&P500_Close,vix_close,day_of_week,day_of_month,hour_of_day,dow_sin,dow_cos,dom_sin,dom_cos,hod_sin,hod_cos,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8
2010-05-13 04:00:00,-0.4638683317897351,-0.5213302262116358,-0.7056894062212983,0.5093305097801223,-0.823792872456755,-0.510959587126512,-0.7066810399273464,-1.3599272649548249,-0.5808272874936456,-0.8266486751516982,0.5441515850499626,-0.14399062430531195,-0.819109383422335,-0.8150720882349969,-0.8221564684332578,-0.002659722973188725,-0.26051469423699514,0.5283840895307659,-0.2934938942689785,-0.3546962767116191,0.3616698906225418,0.7221094017316229,-0.3205439601001758,-1.601705551466358,0.14328588504009343,-1.0760607367690187,0.67040914389834,-1.220095911961514,0.8664869676979654,1.1636923473507832,-0.8360813393505239,-0.8384312198578416,-0.8359893010111414,-0.8379566858338408,-0.8346420781453556,-0.835329095355174,-0.8321430422935089,-0.8309851505865468,-0.846308815103331,-0.8475909135710611,-0.8431937574273771,-0.8417240523714025,-0.8384372012956693,-0.8379250535876458,-0.8353416020970953,-0.8309588681931052
2010-05-13 08:00:00,0.10380555680050503,-0.28595575552576497,-0.48900903033717585,0.6159350314277593,-0.822166600814987,0.6338890887948857,0.514241607007794,-1.3295333212589957,-0.5331944332271408,-0.5087782847538107,0.5132795955466237,-0.0666008467221273,-0.8244321319964527,-0.829420306288132,-0.8183665261707104,-0.2581386145138302,0.3343418819344683,-0.34508524346958236,0.31811144858266127,-0.3546962767116191,0.3616698906225418,0.7221094017316229,-0.3205439601001758,-0.884765870660717,0.14328588504009343,-1.0760607367690187,0.67040914389834,-1.220095911961514,1.4012738218046061,-0.1686438918809141,-0.8233221688001432,-0.8227577688463986,-0.821761858990318,-0.8208133097291246,-0.8188989408447805,-0.8156849641930561,-0.8172728421462964,-0.8153562372023223,-0.8324940826934478,-0.8253310350734011,-0.8298151667348902,-0.826325652409956,-0.8227635625113903,-0.8207822183965877,-0.8156972692289348,-0.8153304134245688
2010-05-13 12:00:00,-0.6808855611353265,-0.8053635109584196,-0.5937372631683101,-0.8523236300387731,-0.8388980781448153,-1.1847148198165245,-0.8317744807547118,-1.0156700736556792,-0.9273442862019375,0.7018124821767749,0.781996891147107,-1.630410681795204,-0.8387056806625542,-0.8354220247512433,-0.840967848395582,-0.026718877794497834,-1.253467232125803,-2.002928372167224,-0.9679011875845198,-0.3546962767116191,0.3616698906225418,0.7221094017316229,-0.3205439601001758,-0.16782618985507605,0.14328588504009343,-1.0760607367690187,0.67040914389834,-1.220095911961514,0.5505507907368636,-1.3127469579076707,-0.819076761332842,-0.8312026150721838,-0.8309638013295909,-0.8268490632974531,-0.8364321141649539,-0.8493966799373908,-0.8496981396895216,-0.8473025623577397,-0.8129652832236655,-0.8109194848707932,-0.8142106355669819,-0.8091372745096236,-0.8312085099090696,-0.8268177815227548,-0.8494093311253414,-0.8472758011452759
2010-05-13 16:00:00,-1.139158286251768,-1.203231665682981,-0.9376532189303822,-1.1063289285619533,-0.8592653105404854,-1.4231101362790926,-1.4536200054071817,-0.6510456144993282,-1.0030692891413189,0.6416263639643974,0.8462515550715841,-1.1504009708914698,-0.8515426953310676,-0.8284316679417549,-0.873793111280585,0.5310314539107036,-1.2695601250420494,-0.5424276952533128,-1.5350138661400734,-0.3546962767116191,0.3616698906225418,0.7221094017316229,-0.3205439601001758,0.5491134909505649,0.14328588504009343,-1.0760607367690187,0.67040914389834,-1.220095911961514,-0.8349590944375189,-1.1245137847027298,-0.8792009103292385,-0.887448044690114,-0.88539524080281,-0.8868164552139444,-0.8841664080209223,-0.8933664875385798,-0.8941251574132891,-0.895474499499418,-0.867879991955972,-0.8654906096825833,-0.8785563787946513,-0.8803921655383725,-0.8874546133648057,-0.8867832813276241,-0.8933795902087428,-0.8954463247269995
2010-05-13 20:00:00,-1.402557263218325,-1.2190344300174056,-1.1304789051407464,-0.5248330565078702,-0.8731016558769005,-1.2672842038206296,-1.2063498367628482,-0.5613028260448369,-0.9177561027020679,0.450984487125212,0.8007321065946827,-0.8712421483207786,-0.8632747721084689,-0.8310225649278346,-0.8947332543297477,0.787348181896086,-1.414240913320831,-0.42585409504350064,-1.5780437154391005,-0.3546962767116191,0.3616698906225418,0.7221094017316229,-0.3205439601001758,1.2660531717562058,0.14328588504009343,-1.0760607367690187,0.67040914389834,-1.220095911961514,-1.3697459485441597,0.20782245452896794,-0.8986379920849442,-0.8956863593505944,-0.9003570024118036,-0.8979699770170115,-0.8924051635470244,-0.8905896886243098,-0.8933449308623541,-0.8900124122961223,-0.8941325731468415,-0.8997295155779546,-0.901825488506794,-0.9043044349270885,-0.8956930267228675,-0.8979364512109633,-0.890602762782287,-0.8899843978034889
2010-05-14 00:00:00,-1.0725830678128059,-1.4087882260859825,-1.3186471433132032,-0.5662487047526878,-0.8922827741643736,-1.5254263495788043,-1.597381762562599,-0.2897192860143712,-1.1813685889379482,0.5026841766644788,0.5819204884124408,-0.9673120145921508,-0.8840356715911358,-0.8465590673968783,-0.9207391678897533,0.9318382880601587,-1.4492593756938708,-0.7830689128292136,-0.9353530711037267,-0.38123845055777034,0.4537462620259748,0.9067867342503445,-0.2917993276892133,0.9075833313533854,-0.28768114087775454,-1.076060736769019,0.6052452371711512,-1.2486838412404895,-0.5190229174764175,1.3519255205557243,-0.907289444058854,-0.9120023530096536,-0.9126339080265469,-0.9138970225547257,-0.9229275725991577,-0.9269864082774855,-0.9264816114373108,-0.9269388757839542,-0.8928933778808409,-0.8945202450429345,-0.8987504779531204,-0.9015506227134152,-0.9120092158526244,-0.9138629942130988,-0.9269998561571688,-0.9269097777191613
2010-05-14 04:00:00,-0.581784232451569,-1.2823986420192695,-1.3755687146084834,0.06312196777496003,-0.9048480960106141,-1.2200827219658072,-1.3232775086290103,-0.1176630773527481,-1.1670800546266398,0.08461366738379512,0.33858544017829845,-0.6459789420888009,-0.9064717624767412,-0.8992995867548079,-0.9125722526327027,0.07337814984569738,-1.0201135203907508,0.23361941471464392,-0.5219281499717874,-0.4608649720962241,0.7299753762362737,1.4608187318065093,-0.20556543045632591,-1.601705551466358,-1.580582218631298,-1.076060736769019,0.4097535169895832,-1.3344476290774179,0.8664869676979654,1.1636923473507832,-0.9362500074303995,-0.933802907125129,-0.9342274934162187,-0.934230397693652,-0.9347464001644562,-0.9305205159865567,-0.9310482315442478,-0.9308633165896864,-0.9339015619613394,-0.9324308834740019,-0.9350080650785527,-0.9334948443920038,-0.9338100311455441,-0.9341957277864305,-0.9305340001544784,-0.9308341033658861
2010-05-14 08:00:00,-0.7106469396944544,-1.0482222152813108,-1.2514323410779264,0.47111172881589924,-0.9123563257368205,-0.831209079603457,-0.8838002865011884,-0.18951653359514375,-1.1034553191582386,0.050033825075616406,0.48719751456237975,-0.6305293449038649,-0.9176416174819256,-0.9241380897325869,-0.9099374720840717,-0.3139751312603475,-1.0385702169442386,-0.33259521487567745,-0.47256483573861285,-0.4608649720962241,0.7299753762362737,1.4608187318065093,-0.20556543045632591,-0.884765870660717,-1.580582218631298,-1.076060736769019,0.4097535169895832,-1.3344476290774179,1.4012738218046061,-0.1686438918809141,-0.9286541702861983,-0.9262759789673659,-0.927389142251371,-0.9221359409236582,-0.9218489611514508,-0.9242784556172877,-0.928707551891447,-0.9196178429358399,-0.931354327247888,-0.9302966889376295,-0.9304184970879921,-0.9271610763005608,-0.9262830128128318,-0.922101652624866,-0.924291875691697,-0.9195889596998328
2010-05-14 12:00:00,-0.6643950720587238,-1.4331096826289975,-1.3371244173291055,-0.5901828795450699,-0.9343387380294752,-1.2414051942973408,-1.3153478523042077,0.12407055305552354,-1.0854828489926225,1.0184028198256256,0.8572254127770338,-1.724174329583059,-0.9331509066555327,-0.9166916440288075,-0.948587945588049,0.3316849875846428,-0.7747367717284653,-1.6881796516008543,-0.958577334406451,-0.4608649720962241,0.7299753762362737,1.4608187318065093,-0.20556543045632591,-0.16782618985507605,-1.580582218631298,-1.076060736769019,0.4097535169895832,-1.3344476290774179,0.5505507907368636,-1.3127469579076707,-0.9270019035962224,-0.92561048836805,-0.9367976119748177,-0.9365942099276356,-0.9459455998768178,-0.9472042582235424,-0.9572317166799996,-0.9617309942721839,-0.9170806336283752,-0.914462342377436,-0.9177053937541378,-0.9216534518732183,-0.9256175142407307,-0.9365594654366034,-0.9472179137002137,-0.9617008752655616
2010-05-14 16:00:00,-0.8599610203390227,-1.7476647300159243,-1.549394351554329,-0.9878925124974715,-0.9583401961583959,-1.19960850008548,-1.0292808454953533,0.12215677987410407,-0.8024632414625,1.300637141035612,1.3505928822299063,-1.5726094150668624,-0.9540621144079147,-0.922054897341613,-0.9851596746125013,0.7675101510213534,-1.4173780425713112,-1.8214066232691395,-2.0588442153071655,-0.4608649720962241,0.7299753762362737,1.4608187318065093,-0.20556543045632591,0.5491134909505649,-1.580582218631298,-1.076060736769019,0.4097535169895832,-1.3344476290774179,-0.8349590944375189,-1.1245137847027298,-0.9858409562781938,-0.9819936056961861,-0.9828073236711908,-0.9840540516740209,-0.9808742514387311,-0.9805946914488703,-0.982841505822419,-0.9832121439456513,-0.9694940037681957,-0.9800945614530133,-0.9827854678602936,-0.9846469062609537,-0.9820013070562145,-0.984017809713858,-0.9806086897786831,-0.9831813945950016
