Metric,Average,Std Dev,Max,Min
Training MAE,0.07332606613636017,0.0022946542594581842,0.0765102356672287,0.0697978213429451
Training R²,-1.1798807859420777,0.1325902474219961,-0.9779201745986938,-1.3698244094848633
Training Uncertainty,0.05332256481051445,0.005211382173001766,0.05958489328622818,0.04606010019779205
Training SNR,7.811397552490234,0.7785803079605103,8.99128532409668,6.976139545440674
Validation MAE,0.07513391226530075,0.00454808259382844,0.08353595435619354,0.07016146928071976
Validation R²,0.7507781505584716,0.051142735349649394,0.7957586050033569,0.65239417552948
Validation Uncertainty,0.24554547667503357,0.06098755821585655,0.35575759410858154,0.17131204903125763
Validation SNR,1.1914247274398804,0.2650343179702759,1.6117905378341675,0.7872636914253235
Test MAE,0.07270948588848114,0.00232322933152318,0.0762883648276329,0.06944910436868668
Test R²,-0.0832220196723938,0.13165521339234154,0.05491989850997925,-0.33171892166137695
Test Uncertainty,0.13855060935020447,0.032151754945516586,0.1969192624092102,0.09958785772323608
Test SNR,2.519366502761841,0.5202406644821167,3.334085464477539,1.7086848020553589
