Metric,Average,Std Dev,Max,Min
Training MAE,0.001346512603638201,0.0,0.001346512603638201,0.001346512603638201
Training R²,0.9987966078881986,0.0,0.9987966078881986,0.9987966078881986
Validation MAE,0.08019903027326951,0.0,0.08019903027326951,0.08019903027326951
Validation R²,-0.043994592451955694,0.0,-0.043994592451955694,-0.043994592451955694
