DATE_TIME,Uncertainty_1,Uncertainty_2,Uncertainty_3,Uncertainty_4,Uncertainty_5,Uncertainty_6
2017-05-03 02:00:00,0.1786516,0.15823816,0.18913716,0.15842396,0.17674519,0.16749103
2017-05-03 03:00:00,0.18673454,0.1653777,0.18521138,0.15485488,0.1763572,0.17141733
2017-05-03 04:00:00,0.17218143,0.16287373,0.16806293,0.16525245,0.17069806,0.16770004
2017-05-03 05:00:00,0.17550611,0.15984052,0.15847003,0.16345668,0.17349756,0.17457744
2017-05-03 06:00:00,0.17930298,0.15885408,0.17030218,0.16269696,0.15448327,0.16321464
2017-05-03 07:00:00,0.18595652,0.18297109,0.16047725,0.18143421,0.17243539,0.19273406
2017-05-03 08:00:00,0.18960111,0.17145169,0.19705127,0.16937798,0.15103151,0.17586094
2017-05-03 09:00:00,0.19610594,0.18686458,0.19130175,0.17310071,0.17320454,0.18439895
2017-05-03 10:00:00,0.20429623,0.18168786,0.20097795,0.16814297,0.18914577,0.18425095
2017-05-03 11:00:00,0.19839284,0.17837077,0.18875791,0.16739239,0.18884514,0.19596846
2017-05-03 12:00:00,0.17770866,0.17366304,0.1985191,0.18025923,0.19191912,0.1721423
2017-05-03 13:00:00,0.18263163,0.17799382,0.21495757,0.14799353,0.20092155,0.178267
2017-05-03 14:00:00,0.1820018,0.18148123,0.20958273,0.17830539,0.18066137,0.1690082
2017-05-03 15:00:00,0.1804564,0.17750224,0.21020992,0.18456385,0.17839195,0.20388973
2017-05-03 16:00:00,0.16237472,0.16613415,0.19846578,0.17625393,0.1797949,0.18937117
2017-05-03 17:00:00,0.17515811,0.1696703,0.19039378,0.20552249,0.19182286,0.1613932
2017-05-03 18:00:00,0.18407474,0.17458877,0.1853107,0.1825082,0.17504302,0.17832099
2017-05-03 19:00:00,0.18049029,0.20048836,0.17850529,0.16611315,0.19730021,0.1802232
2017-05-03 20:00:00,0.19610357,0.1882709,0.18301347,0.17320691,0.18880221,0.1902839
2017-05-03 21:00:00,0.19438985,0.16197504,0.20650911,0.18712348,0.19324635,0.17888166
2017-05-03 22:00:00,0.19673344,0.18919381,0.19773299,0.20540436,0.19660233,0.19161151
2017-05-03 23:00:00,0.21375114,0.20780896,0.19090405,0.17743558,0.19758855,0.20573252
2017-05-04 00:00:00,0.22016685,0.1822821,0.20910163,0.19018523,0.2050174,0.18681824
2017-05-04 01:00:00,0.19609682,0.19004887,0.20647696,0.1922552,0.19618703,0.17796837
2017-05-04 02:00:00,0.18600896,0.18698795,0.21651725,0.19473796,0.18940306,0.19481006
2017-05-04 03:00:00,0.17783348,0.1727456,0.2048863,0.17928852,0.20453745,0.17374544
2017-05-04 04:00:00,0.179499,0.2077846,0.21488756,0.18856484,0.1821417,0.18316442
2017-05-04 05:00:00,0.175951,0.1875703,0.19344492,0.18710633,0.19630331,0.192691
2017-05-04 06:00:00,0.19754381,0.19701079,0.21527237,0.20678583,0.2009313,0.18880083
2017-05-04 07:00:00,0.18797235,0.17748745,0.19230929,0.18434402,0.1921648,0.1895532
2017-05-04 08:00:00,0.19425488,0.18168521,0.18906727,0.1702568,0.1738165,0.19019437
2017-05-04 09:00:00,0.18472946,0.17847812,0.18985692,0.15920338,0.17524189,0.1729078
2017-05-04 10:00:00,0.17195003,0.18265925,0.17239794,0.15948439,0.19628167,0.19188075
2017-05-04 11:00:00,0.16901183,0.163455,0.17776732,0.1439074,0.18599449,0.17291869
2017-05-04 12:00:00,0.17859004,0.15661973,0.16542034,0.14276578,0.17921205,0.1817278
2017-05-04 13:00:00,0.17887092,0.17027168,0.1704101,0.16034345,0.18726334,0.16812763
2017-05-04 14:00:00,0.17001319,0.16746554,0.17452838,0.15956022,0.15751334,0.14997323
2017-05-04 15:00:00,0.17965843,0.15529585,0.16781034,0.15032248,0.16649057,0.17521638
2017-05-04 16:00:00,0.1843451,0.14007235,0.15626074,0.15079495,0.15781073,0.1825604
2017-05-04 17:00:00,0.17631094,0.1496766,0.17429662,0.15350899,0.1472157,0.15523374
2017-05-04 18:00:00,0.15816261,0.15401328,0.16083732,0.13973098,0.14951603,0.14902806
2017-05-04 19:00:00,0.16071802,0.1338713,0.1625389,0.14187685,0.15104577,0.16786201
2017-05-04 20:00:00,0.17908989,0.14209183,0.16269639,0.13633084,0.15702465,0.15877338
2017-05-04 21:00:00,0.14870541,0.15924391,0.15797065,0.16175015,0.14591579,0.159877
2017-05-04 22:00:00,0.15888533,0.1438011,0.16307372,0.1477269,0.15279882,0.15154198
2017-05-04 23:00:00,0.16709231,0.15181932,0.17023134,0.14897321,0.13776603,0.15589963
2017-05-05 00:00:00,0.13472243,0.15622103,0.14453378,0.1374372,0.15898708,0.15752536
2017-05-05 01:00:00,0.1590855,0.15867823,0.17169362,0.14222097,0.16000994,0.15971503
2017-05-05 02:00:00,0.16191304,0.15604536,0.17408031,0.12916705,0.1393414,0.14496058
2017-05-05 03:00:00,0.16313665,0.16405,0.15731923,0.14359741,0.14850575,0.16788952
2017-05-05 04:00:00,0.1574229,0.1593026,0.16243276,0.15360183,0.14866324,0.14158951
2017-05-05 05:00:00,0.15856342,0.15091532,0.17403024,0.14291789,0.16287467,0.15078127
2017-05-05 06:00:00,0.1878026,0.15309642,0.17325853,0.13944598,0.16004129,0.15210049
2017-05-05 07:00:00,0.17353018,0.15966345,0.17600657,0.14805363,0.1805398,0.15638135
2017-05-05 08:00:00,0.16148603,0.1596707,0.16374001,0.14811373,0.15178071,0.16697513
2017-05-05 09:00:00,0.16321804,0.16705108,0.16901334,0.16174217,0.18530756,0.17163391
