ts,stage,generation,candidate,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,extra
1766773048.911,candidate_start,0,1,860644,860644,,,
1766773049.154,subprocess_start,0,1,860644,860644,,,{"params":{"changepoint_prior_scale":0.13100311878339538,"seasonality_prior_scale":9.130382663693434,"holidays_prior_scale":7.680984958008397,"regressors_prior_scale":2.3427065832013176,"window_size":35}}
1766773051.588,before_preprocess,0,1,863584,863584,,,
1766773051.872,after_preprocess,0,1,870340,872912,,,
1766773051.872,before_build_model,0,1,870340,872912,,,
1766773052.291,after_build_model,0,1,879676,879676,,,
1766773052.292,before_fit,0,1,879676,879676,,,{"params":{"changepoint_prior_scale":0.13100311878339538,"seasonality_prior_scale":9.130382663693434,"holidays_prior_scale":7.680984958008397,"regressors_prior_scale":2.3427065832013176,"window_size":35}}
1766773366.619,candidate_start,0,1,865488,865488,,,
1766773366.867,subprocess_start,0,1,865488,865488,,,{"params":{"changepoint_prior_scale":0.20850423114449207,"seasonality_prior_scale":6.13872318375797,"holidays_prior_scale":3.8987251184744967,"regressors_prior_scale":9.283752762768657,"window_size":50}}
1766773369.417,before_preprocess,0,1,864076,864076,,,
1766773369.701,after_preprocess,0,1,873460,876332,,,
1766773369.701,before_build_model,0,1,873460,876332,,,
1766773370.139,after_build_model,0,1,880800,880800,,,
1766773370.139,before_fit,0,1,880800,880800,,,{"params":{"changepoint_prior_scale":0.20850423114449207,"seasonality_prior_scale":6.13872318375797,"holidays_prior_scale":3.8987251184744967,"regressors_prior_scale":9.283752762768657,"window_size":50}}
1766774070.201,candidate_start,0,1,867112,867112,,,
1766774070.446,subprocess_start,0,1,867116,867116,,,{"params":{"changepoint_prior_scale":0.1959204366739461,"seasonality_prior_scale":5.386206752182644,"holidays_prior_scale":8.726450475123306,"regressors_prior_scale":4.22199808038209,"window_size":80}}
1766774072.870,before_preprocess,0,1,864048,864048,,,
1766774073.154,after_preprocess,0,1,873448,881552,,,
