DATE_TIME,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
2011-01-10 12:00:00,-1.7322115,-1.3198918,0.723,-2.119246,-0.2713279,-3.4248996,1.9901263,1.1076487,0.1076323,-0.07811164,-1.5413982,0.4648899,-2.8243313,-2.1482728,1.5168295,-0.36387822
2011-01-10 13:00:00,-1.6915871,-1.4964267,0.8470413,-1.9391322,-0.14058954,-3.487092,1.8113028,1.2149972,0.30801755,0.092495926,-1.41419,0.42360726,-3.0170486,-2.113219,1.2202058,-0.5775024
2011-01-10 14:00:00,-1.6753379,-1.3880329,0.79195017,-2.06487,-0.24383031,-3.4811606,1.9166418,1.1544626,0.19402198,-0.010508767,-1.5007007,0.48466042,-2.8762324,-2.1020906,1.3618461,-0.45402637
2011-01-10 15:00:00,-1.5922122,-1.4901061,0.87988704,-1.9560497,-0.2444639,-3.5585184,1.8280559,1.2168297,0.31474167,0.07574547,-1.4157414,0.46059605,-2.9875612,-2.0247004,1.1332012,-0.59814906
2011-01-10 16:00:00,-1.7823038,-1.4180816,0.748413,-2.017503,-0.12652507,-3.416473,1.9180149,1.1568629,0.19561508,0.005910762,-1.4906242,0.4119132,-2.913596,-2.203682,1.4577327,-0.41918242
2011-01-10 17:00:00,-1.7984675,-1.4178748,0.7755924,-2.0102313,-0.07907243,-3.4016209,1.8620543,1.1654114,0.22672108,0.026682265,-1.4680527,0.44663438,-2.9330096,-2.206068,1.4146392,-0.45192695
2011-01-10 18:00:00,-1.7523502,-1.4657029,0.80692697,-1.9520507,-0.10280324,-3.4534693,1.8455431,1.1934414,0.27373612,0.058461316,-1.4391475,0.41275004,-2.9817812,-2.171136,1.3258241,-0.50956815
2011-01-10 19:00:00,-1.8480073,-1.3924676,0.7074218,-2.0380387,-0.08181805,-3.358036,1.9410352,1.1341137,0.16059878,-0.01969742,-1.5090702,0.4047753,-2.8834722,-2.2591429,1.5611364,-0.36001438
2011-01-10 20:00:00,-1.8481333,-1.4058503,0.7187701,-2.0211804,-0.06794796,-3.362966,1.9227419,1.1449243,0.17844705,-0.0041422765,-1.4962175,0.40155867,-2.904397,-2.2589061,1.5353949,-0.3805168
2011-01-10 21:00:00,-1.8593725,-1.3942152,0.69878465,-2.035719,-0.07343265,-3.3478818,1.9474019,1.1330719,0.15549335,-0.020700924,-1.5107261,0.39448503,-2.8846653,-2.2693737,1.57937,-0.35314652
2011-01-10 22:00:00,-1.8705487,-1.3994488,0.7108851,-2.0271566,-0.045451254,-3.340996,1.9184853,1.1417952,0.17314686,-0.0056370418,-1.4978869,0.4054152,-2.9014695,-2.2748797,1.5574788,-0.37172887
2011-01-10 23:00:00,-1.7901114,-1.4674462,0.78867894,-1.9451709,-0.068383954,-3.42733,1.8504583,1.1907676,0.26647425,0.05823589,-1.4394175,0.39394215,-2.9867315,-2.2065866,1.3689148,-0.49041146
2011-01-11 00:00:00,-1.7589856,-1.2727684,0.720743,-2.1722524,-0.26879597,-3.3898082,2.0116663,1.077504,0.09287893,-0.13464354,-1.5682957,0.516673,-2.7495563,-2.1528547,1.5575976,-0.3093126
2011-01-11 01:00:00,-1.4431273,-1.4917634,0.96129626,-1.9676656,-0.35541856,-3.621285,1.7809933,1.2107899,0.3520756,0.06779433,-1.381201,0.56993073,-2.9822612,-1.8814013,0.92687124,-0.6765573
2011-01-11 02:00:00,-1.7848576,-1.3827667,0.7253223,-2.0585902,-0.15514587,-3.4035633,1.9556557,1.1305741,0.15611246,-0.031091683,-1.5174866,0.42700318,-2.8638842,-2.2057238,1.5160786,-0.37107316
2011-01-11 03:00:00,-1.7999729,-1.3668714,0.7053378,-2.0692654,-0.16170006,-3.388219,1.975166,1.119654,0.13278168,-0.046225064,-1.5286605,0.41803113,-2.852821,-2.2186108,1.5591114,-0.34722713
