DATE_TIME,typical_price,day_of_week,day_of_month,hour_of_day,dow_sin,dow_cos,dom_sin,dom_cos,hod_sin,hod_cos
2017-09-20 10:00:00,1.2005966666666663,2,20,10,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,0.4999999999999999,-0.8660254037844387
2017-09-20 11:00:00,1.2004266666666668,2,20,11,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,0.258819045102521,-0.9659258262890682
2017-09-20 12:00:00,1.1997033333333331,2,20,12,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,1.2246467991473532e-16,-1.0
2017-09-20 13:00:00,1.19959,2,20,13,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.2588190451025208,-0.9659258262890684
2017-09-20 14:00:00,1.1995733333333334,2,20,14,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.4999999999999997,-0.8660254037844388
2017-09-20 15:00:00,1.1993666666666665,2,20,15,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.7071067811865471,-0.7071067811865479
2017-09-20 16:00:00,1.2001966666666666,2,20,16,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.8660254037844384,-0.5000000000000004
2017-09-20 17:00:00,1.2007,2,20,17,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.9659258262890684,-0.2588190451025206
2017-09-20 18:00:00,1.192753333333333,2,20,18,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-1.0,-1.8369701987210294e-16
2017-09-20 19:00:00,1.1885333333333332,2,20,19,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.9659258262890684,0.2588190451025203
2017-09-20 20:00:00,1.1893466666666666,2,20,20,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.8660254037844386,0.5000000000000001
2017-09-20 21:00:00,1.1889966666666667,2,20,21,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.7071067811865477,0.7071067811865474
2017-09-20 22:00:00,1.18899,2,20,22,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.5000000000000004,0.8660254037844384
2017-09-20 23:00:00,1.1876533333333332,2,20,23,0.9749279121818236,-0.2225209339563143,-0.7907757369376986,-0.6121059825476627,-0.2588190451025215,0.965925826289068
2017-09-21 00:00:00,1.1874900000000002,3,21,0,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.0,1.0
2017-09-21 01:00:00,1.1874733333333332,3,21,1,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.2588190451025207,0.9659258262890684
2017-09-21 02:00:00,1.1879966666666666,3,21,2,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.4999999999999999,0.8660254037844387
2017-09-21 03:00:00,1.1885533333333334,3,21,3,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.7071067811865475,0.7071067811865476
2017-09-21 04:00:00,1.18837,3,21,4,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.8660254037844386,0.5000000000000001
2017-09-21 05:00:00,1.188146666666667,3,21,5,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.9659258262890684,0.2588190451025207
2017-09-21 06:00:00,1.1891533333333333,3,21,6,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,1.0,6.123233995736766e-17
2017-09-21 07:00:00,1.1894766666666663,3,21,7,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.9659258262890684,-0.2588190451025206
2017-09-21 08:00:00,1.19105,3,21,8,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.8660254037844387,-0.4999999999999998
2017-09-21 09:00:00,1.19131,3,21,9,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.7071067811865476,-0.7071067811865475
2017-09-21 10:00:00,1.1906233333333334,3,21,10,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.4999999999999999,-0.8660254037844387
2017-09-21 11:00:00,1.18987,3,21,11,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,0.258819045102521,-0.9659258262890682
2017-09-21 12:00:00,1.19118,3,21,12,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,1.2246467991473532e-16,-1.0
2017-09-21 13:00:00,1.1920033333333333,3,21,13,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-0.2588190451025208,-0.9659258262890684
2017-09-21 14:00:00,1.19189,3,21,14,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-0.4999999999999997,-0.8660254037844388
2017-09-21 15:00:00,1.1938366666666669,3,21,15,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-0.7071067811865471,-0.7071067811865479
2017-09-21 16:00:00,1.193733333333333,3,21,16,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-0.8660254037844384,-0.5000000000000004
2017-09-21 17:00:00,1.1933366666666665,3,21,17,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-0.9659258262890684,-0.2588190451025206
2017-09-21 18:00:00,1.1931433333333334,3,21,18,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-1.0,-1.8369701987210294e-16
2017-09-21 19:00:00,1.19323,3,21,19,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-0.9659258262890684,0.2588190451025203
2017-09-21 20:00:00,1.1937566666666666,3,21,20,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-0.8660254037844386,0.5000000000000001
2017-09-21 21:00:00,1.1938133333333334,3,21,21,0.4338837391175582,-0.900968867902419,-0.8978045395707417,-0.4403941515576342,-0.7071067811865477,0.7071067811865474
